time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1-10-2018  9:59:31,1-10-2018  9:59:31,1205.22,1193.47,1199.89,1207.40 x 800,1208.16 x 900,1420526
1-10-2018  9:59:47,1-10-2018  9:59:47,1205.22,1193.47,1199.89,1207.400 x 800,1208.160 x 900,1420526
1-10-2018  10:0:3,1-10-2018  10:0:3,1206.25,1193.47,1199.89,1207.40 x 800,1208.16 x 900,1420526
1-10-2018  10:0:19,1-10-2018  10:0:19,1205.6,1193.47,1199.89,1207.70 x 800,1208.17 x 900,1420526
1-10-2018  10:0:36,1-10-2018  10:0:36,1206.12,1193.47,1199.89,1207.70 x 800,1208.17 x 900,1420526
1-10-2018  10:0:52,1-10-2018  10:0:52,1206.82,1193.47,1199.89,1207.7000 x 800,1208.1700 x 900,1420526
1-10-2018  10:1:7,1-10-2018  10:1:7,1206.82,1193.47,1199.89,1207.91 x 800,1208.78 x 900,1420526
1-10-2018  10:1:24,1-10-2018  10:1:24,1206.72,1193.47,1199.89,1207.91 x 800,1208.78 x 900,1420526
1-10-2018  10:1:40,1-10-2018  10:1:40,1206.55,1193.47,1199.89,1207.91 x 800,1208.78 x 900,1420526
1-10-2018  10:1:56,1-10-2018  10:1:56,1206.0,1193.47,1199.89,1208.04 x 800,1208.63 x 900,1420526
1-10-2018  10:2:12,1-10-2018  10:2:12,1205.59,1193.47,1199.89,1208.04 x 800,1208.63 x 900,1420526
1-10-2018  10:2:28,1-10-2018  10:2:28,1205.29,1193.47,1199.89,1208.04 x 800,1208.63 x 900,1420526
1-10-2018  10:2:44,1-10-2018  10:2:44,1205.36,1193.47,1199.89,1208.04 x 800,1208.63 x 900,1420526
1-10-2018  10:3:0,1-10-2018  10:3:0,1205.36,1193.47,1199.89,1208.04 x 800,1208.63 x 900,1420526
1-10-2018  10:3:16,1-10-2018  10:3:16,1205.66,1193.47,1199.89,1208.040 x 800,1208.630 x 900,1420526
1-10-2018  10:3:32,1-10-2018  10:3:32,1205.66,1193.47,1199.89,1207.15 x 800,1208.03 x 900,1420526
1-10-2018  10:3:48,1-10-2018  10:3:48,1206.02,1193.47,1199.89,1207.15 x 800,1208.03 x 900,1420526
1-10-2018  10:4:4,1-10-2018  10:4:4,1205.47,1193.47,1199.89,1207.15 x 800,1208.03 x 900,1420526
1-10-2018  10:4:20,1-10-2018  10:4:20,1205.1892,1193.47,1199.89,1207.0400 x 800,1207.5000 x 900,1420526
1-10-2018  10:4:37,1-10-2018  10:4:37,1205.1892,1193.47,1199.89,1207.04 x 800,1207.50 x 900,1420526
1-10-2018  10:4:53,1-10-2018  10:4:53,1205.1892,1193.47,1199.89,1207.0400 x 800,1207.5000 x 900,1420526
1-10-2018  10:5:9,1-10-2018  10:5:9,1205.1892,1193.47,1199.89,1207.4200 x 800,1207.9900 x 900,1420526
1-10-2018  10:5:25,1-10-2018  10:5:25,1206.83,1193.47,1199.89,1207.42 x 800,1207.99 x 900,1420526
1-10-2018  10:5:41,1-10-2018  10:5:41,1206.565,1193.47,1199.89,1208.190 x 800,1208.640 x 900,1420526
1-10-2018  10:5:57,1-10-2018  10:5:57,1206.87,1193.47,1199.89,1208.19 x 800,1208.64 x 900,1420526
1-10-2018  10:6:13,1-10-2018  10:6:13,1206.87,1193.47,1199.89,1208.1899 x 800,1208.6400 x 900,1420526
1-10-2018  10:6:29,1-10-2018  10:6:29,1206.87,1193.47,1199.89,1208.1899 x 800,1208.6400 x 900,1420526
1-10-2018  10:6:45,1-10-2018  10:6:45,1207.144,1193.47,1199.89,1209.1700 x 800,1209.3700 x 900,1420526
1-10-2018  10:7:1,1-10-2018  10:7:1,1206.52,1193.47,1199.89,1209.17 x 800,1209.37 x 900,1420526
1-10-2018  10:7:17,1-10-2018  10:7:17,1206.52,1193.47,1199.89,1209.17 x 800,1209.37 x 900,1420526
1-10-2018  10:7:33,1-10-2018  10:7:33,1206.78,1193.47,1199.89,1209.40 x 800,1209.87 x 900,1420526
