,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,27-9-2018  10:39:43,2005.21,1974.85,1993.2365,2003.1899 x 1000,2003.4301 x 800,4593670
2,27-9-2018  10:40:12,2005.3169,1974.85,1993.2365,2002.7500 x 1000,2003.4100 x 800,4593670
3,27-9-2018  10:40:41,2005.1,1974.85,1993.24,2002.75 x 1000,2003.41 x 800,4593670
4,27-9-2018  10:41:10,2005.71,1974.85,1993.2365,2003.1200 x 1000,2004.1801 x 800,4593670
5,27-9-2018  10:41:38,2005.99,1974.85,1993.24,2004.27 x 1000,2004.87 x 800,4593670
6,27-9-2018  10:42:7,2005.9899,1974.85,1993.2365,2004.2700 x 1000,2004.8700 x 800,4593670
7,27-9-2018  10:42:36,2006.73,1974.85,1993.24,2004.31 x 1000,2004.78 x 800,4593670
8,27-9-2018  10:43:5,2007.4301,1974.85,1993.2365,2004.3101 x 1000,2005.0000 x 800,4593670
9,27-9-2018  10:43:33,2007.682,1974.85,1993.236,2004.570 x 1000,2005.000 x 800,4593670
10,27-9-2018  10:44:2,2007.3641,1974.85,1993.2365,2004.5800 x 1000,2005.7700 x 800,4593670
11,27-9-2018  10:44:30,2006.5,1974.85,1993.2365,2004.5800 x 1000,2005.7700 x 800,4593670
12,27-9-2018  10:45:0,2006.75,1974.85,1993.24,2004.14 x 1000,2004.77 x 800,4593670
13,27-9-2018  10:45:29,2006.59,1974.85,1993.24,2004.14 x 1000,2004.77 x 800,4593670
14,27-9-2018  10:45:59,2007.035,1974.85,1993.2365,2004.2600 x 1000,2005.4399 x 800,4593670
15,27-9-2018  10:46:27,2007.44,1974.85,1993.24,2004.13 x 1000,2004.67 x 800,4593670
16,27-9-2018  10:46:56,2007.19,1974.85,1993.24,2004.13 x 1000,2004.67 x 800,4593670
17,27-9-2018  10:47:24,2007.73,1974.85,1993.24,2003.83 x 1000,2004.55 x 800,4593670
18,27-9-2018  10:47:54,2008,1974.85,1993.24,2003.06 x 1000,2003.77 x 800,4593670
19,27-9-2018  10:48:23,2008.5,1974.85,1993.24,2003.06 x 1000,2003.77 x 800,4593670
20,27-9-2018  10:48:52,2008.6801,1974.85,1993.2365,2003.0601 x 1000,2003.7600 x 800,4593670
21,27-9-2018  10:49:21,2008.31,1974.85,1993.236,2004.110 x 1000,2004.370 x 800,4593670
22,27-9-2018  10:49:50,2008.5,1974.85,1993.24,2004.11 x 1000,2004.37 x 800,4593670
23,27-9-2018  10:50:19,2008.49,1974.85,1993.24,2004.11 x 1000,2004.37 x 800,4593670
24,27-9-2018  10:50:48,2008.33,1974.85,1993.24,2003.93 x 1000,2004.92 x 800,4593670
25,27-9-2018  10:51:17,2008.999,1974.85,1993.236,2003.570 x 1000,2003.950 x 800,4593670
26,27-9-2018  10:51:46,2008.86,1974.85,1993.24,2004.460 x 1000,2004.990 x 800,4593670
27,27-9-2018  10:52:14,2007.83,1974.85,1993.2365,2004.4600 x 1000,2005.9900 x 800,4593670
28,27-9-2018  10:52:43,2008.3,1974.85,1993.2365,2005.3500 x 1000,2005.9900 x 800,4593670
29,27-9-2018  10:53:12,2008.5828,1974.85,1993.2365,2005.3500 x 1000,2005.8900 x 800,4593670
30,27-9-2018  10:53:40,2008.7101,1974.85,1993.2365,2005.51 x 1000,2005.89 x 800,4593670
31,27-9-2018  10:54:9,2008.87,1974.85,1993.24,2005.62 x 1000,2006.16 x 800,4593670
32,27-9-2018  10:54:37,2009.73,1974.85,1993.24,2005.62 x 1000,2006.00 x 800,4593670
33,27-9-2018  10:55:5,2009.4371,1974.85,1993.2365,2005.030 x 1000,2006.000 x 800,4593670
34,27-9-2018  10:55:34,2009.165,1974.85,1993.236,2005.030 x 1000,2005.700 x 800,4593670
35,27-9-2018  10:56:2,2009.4032,1974.85,1993.2365,2005.4000 x 1000,2005.7000 x 800,4593670
36,27-9-2018  10:56:30,2009.4032,1974.85,1993.2365,2005.470 x 1000,2005.700 x 800,4593670
37,27-9-2018  10:56:59,2009.0651,1974.85,1993.2365,2005.4700 x 1000,2005.7000 x 800,4593670
38,27-9-2018  10:57:27,2009.81,1974.85,1993.24,2005.58 x 1000,2006.40 x 800,4593670
39,27-9-2018  10:57:56,2009.23,1974.85,1993.24,2005.58 x 1000,2006.87 x 800,4593670
40,27-9-2018  10:58:25,2009.4301,1974.85,1993.2365,2006.7800 x 1000,2006.8700 x 800,4593670
41,27-9-2018  10:58:53,2008.75,1974.85,1993.24,2007.66 x 1000,2007.94 x 800,4593670
42,27-9-2018  10:59:22,2009.5,1974.85,1993.24,2007.66 x 1000,2007.73 x 800,4593670
43,27-9-2018  10:59:50,2010.1587,1974.85,1993.2365,2006.0300 x 1000,2007.7300 x 800,4593670
44,27-9-2018  11:0:18,2010.4023,1974.85,1993.2365,2006.0300 x 1000,2007.4399 x 800,4593670
45,27-9-2018  11:0:46,2010.27,1974.85,1993.24,2006.30 x 1000,2007.44 x 800,4593670
46,27-9-2018  11:1:14,2011.342,1974.85,1993.2365,2006.3000 x 1000,2007.1801 x 800,4593670
47,27-9-2018  11:1:43,2011.16,1974.85,1993.24,2006.84 x 1000,2007.74 x 800,4593670
48,27-9-2018  11:2:11,2011.3,1974.85,1993.24,2006.83 x 1000,2007.74 x 800,4593670
49,27-9-2018  11:2:41,2010.3717,1974.85,1993.2365,2006.8300 x 1000,2007.9100 x 800,4593670
50,27-9-2018  11:3:9,2010.68,1974.85,1993.24,2007.77 x 1000,2008.49 x 800,4593670
51,27-9-2018  11:3:38,2010.976,1974.85,1993.2365,2008.1500 x 1000,2008.4900 x 800,4593670
52,27-9-2018  11:4:6,2010.4279,1974.85,1993.2365,2008.1500 x 1000,2008.7500 x 800,4593670
53,27-9-2018  11:4:35,2011.25,1974.85,1993.236,2008.410 x 1000,2008.750 x 800,4593670
54,27-9-2018  11:5:3,2010.35,1974.85,1993.2365,2008.1300 x 1000,2008.8800 x 800,4593670
55,27-9-2018  11:5:32,2010.3,1974.85,1993.24,2008.13 x 1000,2008.88 x 800,4593670
56,27-9-2018  11:6:1,2010.2,1974.85,1993.24,2008.55 x 1000,2008.88 x 800,4593670
57,27-9-2018  11:6:30,2010.37,1974.85,1993.24,2008.51 x 1000,2009.00 x 800,4593670
58,27-9-2018  11:6:59,2010.74,1974.85,1993.24,2008.51 x 1000,2008.72 x 800,4593670
59,27-9-2018  11:7:28,2010.39,1974.85,1993.24,2007.59 x 1000,2008.72 x 800,4593670
60,27-9-2018  11:7:56,2009.4,1974.85,1993.24,2007.59 x 1000,2008.89 x 800,4593670
61,27-9-2018  11:8:25,2010.16,1974.85,1993.2365,2008.0200 x 1000,2008.8900 x 800,4593670
62,27-9-2018  11:8:53,2009.99,1974.85,1993.24,2008.02 x 1000,2008.89 x 800,4593670
63,27-9-2018  11:9:22,2009.94,1974.85,1993.24,2008.71 x 1000,2009.49 x 800,4593670
64,27-9-2018  11:9:50,2009.91,1974.85,1993.24,2009.37 x 1000,2009.49 x 800,4593670
65,27-9-2018  11:10:19,2010.44,1974.85,1993.24,2009.37 x 1000,2009.76 x 800,4593670
66,27-9-2018  11:10:47,2009.11,1974.85,1993.236,2009.070 x 1000,2009.760 x 800,4593670
67,27-9-2018  11:11:16,2009.12,1974.85,1993.24,2009.07 x 1000,2009.41 x 800,4593670
68,27-9-2018  11:11:45,2008.315,1974.85,1993.236,2008.740 x 1000,2009.870 x 800,4593670
69,27-9-2018  11:12:13,2007.83,1974.85,1993.2365,2008.7500 x 1000,2009.8700 x 800,4593670
70,27-9-2018  11:12:42,2008.36,1974.85,1993.24,2008.75 x 1000,2009.56 x 800,4593670
71,27-9-2018  11:13:11,2007.9,1974.85,1993.24,2009.08 x 1000,2009.58 x 800,4593670
72,27-9-2018  11:13:40,2006.9915,1974.85,1993.2365,2008.9000 x 1000,2009.5800 x 800,4593670
73,27-9-2018  11:14:8,2007.0334,1974.85,1993.2365,2008.9000 x 1000,2009.3500 x 800,4593670
74,27-9-2018  11:14:37,2007.21,1974.85,1993.24,2008.94 x 1000,2009.35 x 800,4593670
75,27-9-2018  11:15:5,2005.85,1974.85,1993.24,2010.08 x 1000,2009.99 x 800,4593670
76,27-9-2018  11:15:34,2006.01,1974.85,1993.2365,2010.0800 x 1000,2010.4301 x 800,4593670
77,27-9-2018  11:16:2,2006.56,1974.85,1993.24,2010.21 x 1000,2010.43 x 800,4593670
78,27-9-2018  11:16:31,2006.4803,1974.85,1993.2365,2011.0400 x 1000,2011.2800 x 800,4593670
79,27-9-2018  11:17:0,2006.3159,1974.85,1993.2365,2011.0400 x 1000,2011.6400 x 800,4593670
80,27-9-2018  11:17:28,2006.33,1974.85,1993.2365,2010.8101 x 1000,2011.6400 x 800,4593670
81,27-9-2018  11:17:57,2007.335,1974.85,1993.236,2010.810 x 1000,2011.640 x 800,4593670
82,27-9-2018  11:18:25,2007.76,1974.85,1993.24,2010.04 x 1000,2010.84 x 800,4593670
83,27-9-2018  11:18:54,2007.98,1974.85,1993.24,2010.18 x 1000,2010.99 x 800,4593670
84,27-9-2018  11:19:22,2007.56,1974.85,1993.24,2010.18 x 1000,2010.99 x 800,4593670
85,27-9-2018  11:19:51,2007.52,1974.85,1993.236,2010.690 x 1000,2010.940 x 800,4593670
86,27-9-2018  11:20:19,2007.2,1974.85,1993.24,2010.69 x 1000,2010.94 x 800,4593670
87,27-9-2018  11:20:48,2007.1,1974.85,1993.24,2010.23 x 1000,2011.05 x 800,4593670
88,27-9-2018  11:21:16,2006.38,1974.85,1993.236,2010.060 x 1000,2010.980 x 800,4593670
89,27-9-2018  11:21:45,2005.8,1974.85,1993.24,2010.06 x 1000,2010.98 x 800,4593670
90,27-9-2018  11:22:14,2005.671,1974.85,1993.236,2010.050 x 1000,2010.800 x 800,4593670
91,27-9-2018  11:22:43,2005.84,1974.85,1993.24,2010.08 x 1000,2010.50 x 800,4593670
92,27-9-2018  11:23:11,2005.26,1974.85,1993.24,2010.08 x 1000,2010.50 x 800,4593670
93,27-9-2018  11:23:40,2005.27,1974.85,1993.24,2009.46 x 1000,2010.00 x 800,4593670
94,27-9-2018  11:24:9,2005.75,1974.85,1993.24,2009.46 x 1000,2010.20 x 800,4593670
95,27-9-2018  11:24:38,2003.9037,1974.85,1993.2365,2009.6400 x 1000,2010.2000 x 800,4593670
96,27-9-2018  11:25:8,2003.12,1974.85,1993.24,2009.84 x 1000,2010.19 x 800,4593670
97,27-9-2018  11:25:36,2003.5801,1974.85,1993.2365,2009.8400 x 1000,2010.1899 x 800,4593670
98,27-9-2018  11:26:5,2002.81,1974.85,1993.24,2009.02 x 1000,2009.82 x 800,4593670
99,27-9-2018  11:26:34,2001.8,1974.85,1993.24,2009.0100 x 1000,2009.5500 x 800,4593670
100,27-9-2018  11:27:3,2002.34,1974.85,1993.24,2009.010 x 1000,2009.550 x 800,4593670
101,27-9-2018  11:27:31,2003.84,1974.85,1993.24,2007.44 x 1000,2008.66 x 800,4593670
102,27-9-2018  11:28:0,2004.87,1974.85,1993.24,2007.440 x 1000,2008.490 x 800,4593670
103,27-9-2018  11:28:29,2005.5225,1974.85,1993.2365,2007.7700 x 1000,2008.4900 x 800,4593670
104,27-9-2018  11:28:57,2005.14,1974.85,1993.24,2007.77 x 1000,2007.14 x 800,4593670
105,27-9-2018  11:29:25,2005.03,1974.85,1993.24,2006.38 x 1000,2007.14 x 800,4593670
106,27-9-2018  11:29:54,2005.03,1974.85,1993.2365,2007.370 x 1000,2007.650 x 800,4593670
107,27-9-2018  11:30:22,2004.43,1974.85,1993.24,2005.76 x 1000,2006.44 x 800,4593670
