,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,27-9-2018  10:39:40,169.84,166.95,167.55,169.70 x 1100,169.68 x 1000,26350440
2,27-9-2018  10:40:9,169.88,166.95,167.55,169.700 x 1100,169.680 x 1000,26350440
3,27-9-2018  10:40:38,169.76,166.95,167.55,169.70 x 1100,169.72 x 1000,26350440
4,27-9-2018  10:41:7,169.84,166.95,167.55,169.80 x 1200,169.84 x 1000,26350440
5,27-9-2018  10:41:35,169.88,166.95,167.55,169.790 x 1200,169.840 x 1000,26350440
6,27-9-2018  10:42:4,169.84,166.95,167.55,169.7900 x 1200,169.7700 x 1000,26350440
7,27-9-2018  10:42:33,169.92,166.95,167.55,169.81 x 1200,169.84 x 1000,26350440
8,27-9-2018  10:43:2,169.94,166.95,167.55,169.81 x 1200,169.84 x 1000,26350440
9,27-9-2018  10:43:30,169.94,166.95,167.55,169.84 x 1200,169.87 x 1000,26350440
10,27-9-2018  10:43:59,169.83,166.95,167.55,169.80 x 1200,169.75 x 1000,26350440
11,27-9-2018  10:44:28,169.67,166.95,167.55,169.800 x 1200,169.750 x 1000,26350440
12,27-9-2018  10:44:57,169.7,166.95,167.55,169.72 x 1200,169.71 x 1000,26350440
13,27-9-2018  10:45:26,169.67,166.95,167.55,169.72 x 1200,169.71 x 1000,26350440
14,27-9-2018  10:45:56,169.6877,166.95,167.55,169.78 x 1200,169.81 x 1000,26350440
15,27-9-2018  10:46:24,169.76,166.95,167.55,169.80 x 1200,169.82 x 1000,26350440
16,27-9-2018  10:46:53,169.72,166.95,167.55,169.8000 x 1200,169.8200 x 1000,26350440
17,27-9-2018  10:47:21,169.83,166.95,167.55,169.82 x 1200,169.83 x 1000,26350440
18,27-9-2018  10:47:51,169.86,166.95,167.55,169.5300 x 1200,169.8300 x 1000,26350440
19,27-9-2018  10:48:20,169.8301,166.95,167.55,169.5300 x 1200,169.5800 x 1000,26350440
20,27-9-2018  10:48:49,169.87,166.95,167.55,169.52 x 1200,169.50 x 1000,26350440
21,27-9-2018  10:49:18,169.92,166.95,167.55,169.56 x 1200,169.50 x 1000,26350440
22,27-9-2018  10:49:47,169.94,166.95,167.55,169.5600 x 1200,169.5600 x 1000,26350440
23,27-9-2018  10:50:16,169.94,166.95,167.55,169.70 x 1200,169.70 x 1000,26350440
24,27-9-2018  10:50:45,170,166.95,167.55,169.7000 x 1200,169.7000 x 1000,26350440
25,27-9-2018  10:51:14,169.89,166.95,167.55,169.60 x 1200,169.65 x 1000,26350440
26,27-9-2018  10:51:43,169.96,166.95,167.55,169.7900 x 1200,169.8200 x 1000,26350440
27,27-9-2018  10:52:11,169.97,166.95,167.55,169.79 x 1200,169.82 x 1000,26350440
28,27-9-2018  10:52:40,170.02,166.95,167.55,169.94 x 1200,169.95 x 1000,26350440
29,27-9-2018  10:53:9,170.08,166.95,167.55,169.9400 x 1200,169.9500 x 1000,26350440
30,27-9-2018  10:53:38,170.09,166.95,167.55,169.94 x 1200,169.94 x 1000,26350440
31,27-9-2018  10:54:6,170.1,166.95,167.55,169.94 x 1200,169.94 x 1000,26350440
32,27-9-2018  10:54:34,170.08,166.95,167.55,169.88 x 1200,169.89 x 1000,26350440
33,27-9-2018  10:55:2,170.1122,166.95,167.55,169.88 x 1200,169.90 x 1000,26350440
34,27-9-2018  10:55:31,170.08,166.95,167.55,169.88 x 1200,169.90 x 1000,26350440
35,27-9-2018  10:55:59,170.11,166.95,167.55,169.76 x 1200,169.77 x 1000,26350440
36,27-9-2018  10:56:27,170.212,166.95,167.55,169.76 x 1200,169.77 x 1000,26350440
37,27-9-2018  10:56:56,170.27,166.95,167.55,169.79 x 1200,169.81 x 1000,26350440
38,27-9-2018  10:57:24,170.29,166.95,167.55,169.85 x 1200,169.84 x 1000,26350440
39,27-9-2018  10:57:53,170.26,166.95,167.55,169.85 x 1200,169.84 x 1000,26350440
40,27-9-2018  10:58:22,170.202,166.95,167.55,169.9300 x 1200,169.9500 x 1000,26350440
41,27-9-2018  10:58:50,170.18,166.95,167.55,169.9300 x 1200,169.9500 x 1000,26350440
42,27-9-2018  10:59:19,170.2204,166.95,167.55,169.8800 x 1200,169.8900 x 1000,26350440
43,27-9-2018  10:59:47,170.29,166.95,167.55,169.65 x 1200,169.69 x 1000,26350440
44,27-9-2018  11:0:15,170.26,166.95,167.55,169.65 x 1200,169.69 x 1000,26350440
45,27-9-2018  11:0:44,170.3,166.95,167.55,169.59 x 1200,169.61 x 1400,26350440
46,27-9-2018  11:1:12,170.3,166.95,167.55,169.71 x 1000,169.71 x 1400,26350440
47,27-9-2018  11:1:40,170.29,166.95,167.55,169.71 x 1000,169.71 x 1400,26350440
48,27-9-2018  11:2:9,170.41,166.95,167.55,169.77 x 1000,169.77 x 1400,26350440
49,27-9-2018  11:2:38,170.38,166.95,167.55,169.77 x 1000,169.77 x 1400,26350440
50,27-9-2018  11:3:7,170.395,166.95,167.55,169.850 x 1000,169.880 x 1400,26350440
51,27-9-2018  11:3:35,170.45,166.95,167.55,169.86 x 1000,169.86 x 1400,26350440
52,27-9-2018  11:4:3,170.24,166.95,167.55,169.86 x 1000,169.86 x 1400,26350440
53,27-9-2018  11:4:32,170.17,166.95,167.55,169.9200 x 1000,169.9400 x 1400,26350440
54,27-9-2018  11:5:1,170.245,166.95,167.55,169.9200 x 1000,169.9400 x 1400,26350440
55,27-9-2018  11:5:29,170.37,166.95,167.55,169.94 x 1000,169.94 x 1400,26350440
56,27-9-2018  11:5:58,170.19,166.95,167.55,169.99 x 1000,169.99 x 1400,26350440
57,27-9-2018  11:6:27,170.2,166.95,167.55,169.99 x 1000,169.99 x 1400,26350440
58,27-9-2018  11:6:56,170.13,166.95,167.55,169.98 x 1000,169.97 x 1400,26350440
59,27-9-2018  11:7:25,170.21,166.95,167.55,169.98 x 1000,169.97 x 1400,26350440
60,27-9-2018  11:7:53,170.08,166.95,167.55,170.0000 x 1000,170.0000 x 1400,26350440
61,27-9-2018  11:8:22,170.145,166.95,167.55,170.05 x 1000,170.08 x 1400,26350440
62,27-9-2018  11:8:50,170.115,166.95,167.55,170.050 x 1000,170.080 x 1400,26350440
63,27-9-2018  11:9:19,170.15,166.95,167.55,170.10 x 1000,170.10 x 1400,26350440
64,27-9-2018  11:9:48,170.1401,166.95,167.55,170.1000 x 1000,170.1000 x 1400,26350440
65,27-9-2018  11:10:16,170.1,166.95,167.55,170.08 x 1000,170.07 x 1400,26350440
66,27-9-2018  11:10:44,170.06,166.95,167.55,170.08 x 1000,170.10 x 1400,26350440
67,27-9-2018  11:11:13,170.05,166.95,167.55,170.12 x 1000,170.10 x 1400,26350440
68,27-9-2018  11:11:42,170.03,166.95,167.55,170.21 x 1000,170.17 x 1400,26350440
69,27-9-2018  11:12:11,170.13,166.95,167.55,170.21 x 1000,170.29 x 2200,26350440
70,27-9-2018  11:12:39,170.12,166.95,167.55,170.28 x 1000,170.29 x 2200,26350440
71,27-9-2018  11:13:8,170.0835,166.95,167.55,170.2800 x 1000,170.2700 x 2200,26350440
72,27-9-2018  11:13:37,170.1,166.95,167.55,170.2100 x 1000,170.2700 x 2200,26350440
73,27-9-2018  11:14:5,169.93,166.95,167.55,170.15 x 1000,170.20 x 2200,26350440
74,27-9-2018  11:14:34,170.04,166.95,167.55,170.15 x 1000,170.32 x 2200,26350440
75,27-9-2018  11:15:2,169.98,166.95,167.55,170.22 x 1000,170.32 x 2200,26350440
76,27-9-2018  11:15:31,169.86,166.95,167.55,170.24 x 1000,170.27 x 2200,26350440
77,27-9-2018  11:15:59,169.77,166.95,167.55,170.24 x 1000,170.27 x 2200,26350440
78,27-9-2018  11:16:28,169.735,166.95,167.55,170.28 x 1000,170.28 x 2200,26350440
79,27-9-2018  11:16:57,169.79,166.95,167.55,170.28 x 1000,170.29 x 2200,26350440
80,27-9-2018  11:17:25,169.8,166.95,167.55,170.35 x 1000,170.29 x 2200,26350440
81,27-9-2018  11:17:54,169.78,166.95,167.55,170.36 x 1000,170.41 x 800,26350440
82,27-9-2018  11:18:22,169.7635,166.95,167.55,170.3600 x 1000,170.4400 x 800,26350440
83,27-9-2018  11:18:51,169.725,166.95,167.55,170.4400 x 1000,170.4400 x 800,26350440
84,27-9-2018  11:19:20,169.73,166.95,167.55,170.4400 x 1000,170.2800 x 800,26350440
85,27-9-2018  11:19:48,169.67,166.95,167.55,170.19 x 1000,170.28 x 800,26350440
86,27-9-2018  11:20:16,169.63,166.95,167.55,170.25 x 1000,170.21 x 800,26350440
87,27-9-2018  11:20:45,169.69,166.95,167.55,170.2500 x 1000,170.3400 x 800,26350440
88,27-9-2018  11:21:14,169.5902,166.95,167.55,170.2700 x 1000,170.3400 x 800,26350440
89,27-9-2018  11:21:42,169.5799,166.95,167.55,170.2700 x 1000,170.1800 x 800,26350440
90,27-9-2018  11:22:11,169.57,166.95,167.55,170.16 x 1000,170.18 x 800,26350440
91,27-9-2018  11:22:40,169.5,166.95,167.55,170.18 x 1000,170.19 x 800,26350440
92,27-9-2018  11:23:8,169.61,166.95,167.55,170.18 x 1000,170.06 x 800,26350440
93,27-9-2018  11:23:37,169.76,166.95,167.55,170.1700 x 1000,170.0600 x 800,26350440
94,27-9-2018  11:24:6,169.77,166.95,167.55,170.10 x 1000,170.12 x 800,26350440
95,27-9-2018  11:24:35,169.75,166.95,167.55,170.10 x 1000,170.16 x 800,26350440
96,27-9-2018  11:25:4,169.72,166.95,167.55,170.13 x 1000,170.16 x 800,26350440
97,27-9-2018  11:25:33,169.74,166.95,167.55,170.13 x 1000,170.06 x 800,26350440
98,27-9-2018  11:26:2,169.64,166.95,167.55,170.0400 x 1000,170.0600 x 800,26350440
99,27-9-2018  11:26:31,169.56,166.95,167.55,170.03 x 1000,170.05 x 800,26350440
100,27-9-2018  11:26:59,169.53,166.95,167.55,170.03 x 1000,170.05 x 800,26350440
101,27-9-2018  11:27:28,169.455,166.95,167.55,170.100 x 1000,170.050 x 800,26350440
102,27-9-2018  11:27:57,169.38,166.95,167.55,170.10 x 1000,170.09 x 800,26350440
103,27-9-2018  11:28:26,169.5425,166.95,167.55,170.0700 x 1000,170.0900 x 800,26350440
104,27-9-2018  11:28:54,169.5,166.95,167.55,170.09 x 1000,170.12 x 800,26350440
105,27-9-2018  11:29:23,169.525,166.95,167.55,170.090 x 1000,169.880 x 800,26350440
106,27-9-2018  11:29:51,169.47,166.95,167.55,169.99 x 1000,169.88 x 800,26350440
107,27-9-2018  11:30:20,169.45,166.95,167.55,169.92 x 1000,169.96 x 800,26350440
108,27-9-2018  11:30:48,169.445,166.95,167.55,169.920 x 1000,169.960 x 800,26350440
109,27-9-2018  11:31:17,169.46,166.95,167.55,169.75 x 1000,169.77 x 800,26350440
110,27-9-2018  11:31:45,169.46,166.95,167.55,169.7500 x 1000,169.7500 x 800,26350440
111,27-9-2018  11:32:13,169.395,166.95,167.55,169.790 x 1000,169.750 x 800,26350440
112,27-9-2018  11:32:41,169.52,166.95,167.55,169.78 x 1000,169.81 x 800,26350440
113,27-9-2018  11:33:9,169.59,166.95,167.55,169.78 x 1000,169.81 x 800,26350440
114,27-9-2018  11:33:38,169.6,166.95,167.55,169.74 x 1000,169.75 x 800,26350440
115,27-9-2018  11:34:7,169.665,166.95,167.55,169.740 x 1000,169.770 x 800,26350440
116,27-9-2018  11:34:35,169.685,166.95,167.55,169.740 x 1000,169.770 x 800,26350440
117,27-9-2018  11:35:4,169.7305,166.95,167.55,169.6600 x 1000,169.6800 x 800,26350440
