,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,27-9-2018  10:39:42,27.45,27,27.11,27.21 x 1400,27.22 x 800,18235050
2,27-9-2018  10:40:10,27.46,27,27.11,27.21 x 1400,27.22 x 800,18235050
3,27-9-2018  10:40:39,27.485,27,27.11,27.190 x 1400,27.210 x 800,18235050
4,27-9-2018  10:41:8,27.52,27,27.11,27.19 x 1400,27.21 x 800,18235050
5,27-9-2018  10:41:37,27.53,27,27.11,27.19 x 1400,27.24 x 800,18235050
6,27-9-2018  10:42:5,27.52,27,27.11,27.22 x 1400,27.24 x 800,18235050
7,27-9-2018  10:42:34,27.68,27,27.11,27.26 x 1400,27.30 x 800,18235050
8,27-9-2018  10:43:3,27.7163,27,27.11,27.2600 x 1400,27.3000 x 800,18235050
9,27-9-2018  10:43:32,27.73,27,27.11,27.29 x 1400,27.30 x 800,18235050
10,27-9-2018  10:44:0,27.775,27,27.11,27.290 x 1400,27.300 x 800,18235050
11,27-9-2018  10:44:29,27.79,27,27.11,27.27 x 1400,27.30 x 800,18235050
12,27-9-2018  10:44:59,27.75,27,27.11,27.27 x 1400,27.30 x 800,18235050
13,27-9-2018  10:45:28,27.8,27,27.11,27.30 x 1400,27.32 x 800,18235050
14,27-9-2018  10:45:57,27.85,27,27.11,27.30 x 1400,27.32 x 800,18235050
15,27-9-2018  10:46:26,27.8447,27,27.11,27.2900 x 1400,27.3000 x 800,18235050
16,27-9-2018  10:46:54,27.81,27,27.11,27.30 x 1400,27.30 x 800,18235050
17,27-9-2018  10:47:23,27.81,27,27.11,27.30 x 1400,27.30 x 800,18235050
18,27-9-2018  10:47:53,27.84,27,27.11,27.27 x 1400,27.31 x 800,18235050
19,27-9-2018  10:48:22,27.792,27,27.11,27.270 x 1400,27.310 x 800,18235050
20,27-9-2018  10:48:51,27.7901,27,27.11,27.2900 x 1400,27.2900 x 1200,18235050
21,27-9-2018  10:49:20,27.815,27,27.11,27.290 x 1400,27.290 x 1200,18235050
