,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,27-9-2018  10:39:39,29.42,29.01,29.06,29.45 x 2200,29.46 x 800,27013609
2,27-9-2018  10:40:7,29.41,29.01,29.06,29.45 x 2200,29.46 x 800,27013609
3,27-9-2018  10:40:37,29.385,29.01,29.06,29.400 x 800,29.410 x 3200,27013609
4,27-9-2018  10:41:5,29.3799,29.01,29.06,29.3900 x 800,29.4000 x 4000,27013609
5,27-9-2018  10:41:34,29.4,29.01,29.06,29.3900 x 800,29.4000 x 4000,27013609
6,27-9-2018  10:42:2,29.4,29.01,29.06,29.40 x 2900,29.41 x 800,27013609
7,27-9-2018  10:42:31,29.397,29.01,29.06,29.400 x 2900,29.410 x 800,27013609
8,27-9-2018  10:43:0,29.405,29.01,29.06,29.410 x 800,29.420 x 2900,27013609
9,27-9-2018  10:43:29,29.455,29.01,29.06,29.410 x 800,29.420 x 2200,27013609
10,27-9-2018  10:43:58,29.45,29.01,29.06,29.40 x 800,29.41 x 3100,27013609
11,27-9-2018  10:44:26,29.41,29.01,29.06,29.40 x 800,29.41 x 3100,27013609
12,27-9-2018  10:44:55,29.42,29.01,29.06,29.34 x 3200,29.35 x 3100,27013609
13,27-9-2018  10:45:25,29.465,29.01,29.06,29.3400 x 3200,29.3500 x 3100,27013609
14,27-9-2018  10:45:54,29.49,29.01,29.06,29.38 x 3200,29.39 x 3100,27013609
15,27-9-2018  10:46:23,29.46,29.01,29.06,29.3600 x 3200,29.3700 x 2200,27013609
16,27-9-2018  10:46:51,29.48,29.01,29.06,29.36 x 3200,29.37 x 2200,27013609
17,27-9-2018  10:47:20,29.48,29.01,29.06,29.40 x 3200,29.41 x 2200,27013609
18,27-9-2018  10:47:49,29.47,29.01,29.06,29.400 x 1800,29.410 x 2900,27013609
19,27-9-2018  10:48:19,29.47,29.01,29.06,29.38 x 3000,29.39 x 800,27013609
20,27-9-2018  10:48:48,29.445,29.01,29.06,29.380 x 3000,29.390 x 800,27013609
21,27-9-2018  10:49:17,29.43,29.01,29.06,29.400 x 4000,29.410 x 900,27013609
22,27-9-2018  10:49:45,29.42,29.01,29.06,29.40 x 4000,29.41 x 900,27013609
23,27-9-2018  10:50:14,29.43,29.01,29.06,29.38 x 2900,29.39 x 800,27013609
24,27-9-2018  10:50:44,29.4632,29.01,29.06,29.3800 x 2900,29.3900 x 800,27013609
25,27-9-2018  10:51:13,29.47,29.01,29.06,29.38 x 3100,29.39 x 1100,27013609
26,27-9-2018  10:51:41,29.48,29.01,29.06,29.37 x 3200,29.38 x 800,27013609
27,27-9-2018  10:52:10,29.495,29.01,29.06,29.370 x 3200,29.380 x 4000,27013609
28,27-9-2018  10:52:39,29.54,29.01,29.06,29.37 x 800,29.38 x 2200,27013609
29,27-9-2018  10:53:7,29.5493,29.01,29.06,29.3700 x 1100,29.3800 x 1800,27013609
30,27-9-2018  10:53:36,29.55,29.01,29.06,29.38 x 3100,29.39 x 800,27013609
31,27-9-2018  10:54:4,29.5499,29.01,29.06,29.3800 x 3100,29.3900 x 800,27013609
32,27-9-2018  10:54:33,29.55,29.01,29.06,29.40 x 1800,29.41 x 800,27013609
33,27-9-2018  10:55:1,29.56,29.01,29.06,29.40 x 1800,29.41 x 800,27013609
