,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,28-9-2018  13:56:16,225.04,224.95,224.79,225.08 x 800,225.08 x 800,27964356
2,28-9-2018  13:56:32,225.04,224.95,224.79,225.08 x 800,225.08 x 800,27964356
3,28-9-2018  13:56:49,225.02,224.95,224.79,225.08 x 800,225.08 x 800,27964356
4,28-9-2018  13:57:5,225.0136,224.95,224.79,225.0400 x 800,225.0500 x 800,27964356
5,28-9-2018  13:57:22,225.0,224.95,224.79,225.04 x 800,225.05 x 800,27964356
6,28-9-2018  13:57:38,224.99,224.95,224.79,225.07 x 800,225.05 x 800,27964356
7,28-9-2018  13:57:55,225.03,224.95,224.79,225.07 x 800,225.06 x 800,27964356
8,28-9-2018  13:58:11,225.03,224.95,224.79,225.07 x 800,225.06 x 800,27964356
9,28-9-2018  13:58:28,225.02,224.95,224.79,225.07 x 800,225.06 x 800,27964356
10,28-9-2018  13:58:44,225.03,224.95,224.79,225.05 x 800,225.07 x 800,27964356
11,28-9-2018  13:59:0,225.0,224.95,224.79,225.05 x 800,225.07 x 800,27964356
12,28-9-2018  13:59:17,224.99,224.95,224.79,225.05 x 800,225.07 x 800,27964356
13,28-9-2018  13:59:33,225.03,224.95,224.79,225.06 x 800,225.08 x 800,27964356
14,28-9-2018  13:59:50,225.02,224.95,224.79,225.06 x 800,225.08 x 800,27964356
15,28-9-2018  14:0:6,225.03,224.95,224.79,225.06 x 800,225.08 x 800,27964356
16,28-9-2018  14:0:22,225.03,224.95,224.79,225.09 x 800,225.10 x 800,27964356
17,28-9-2018  14:0:39,225.05,224.95,224.79,225.09 x 800,225.10 x 800,27964356
18,28-9-2018  14:0:55,225.0301,224.95,224.79,225.0900 x 800,225.1000 x 800,27964356
19,28-9-2018  14:1:11,225.015,224.95,224.79,225.0900 x 800,225.1000 x 800,27964356
20,28-9-2018  14:1:28,225.01,224.95,224.79,225.04 x 800,225.05 x 800,27964356
21,28-9-2018  14:1:44,225.0,224.95,224.79,225.04 x 800,225.05 x 800,27964356
22,28-9-2018  14:2:0,225.02,224.95,224.79,225.04 x 800,225.05 x 800,27964356
23,28-9-2018  14:2:17,225.01,224.95,224.79,225.06 x 800,225.06 x 800,27964356
24,28-9-2018  14:2:33,225.03,224.95,224.79,225.06 x 800,225.06 x 800,27964356
25,28-9-2018  14:2:50,225.01,224.95,224.79,225.060 x 800,225.060 x 800,27964356
26,28-9-2018  14:3:6,225.02,224.95,224.79,225.07 x 800,225.09 x 800,27964356
27,28-9-2018  14:3:22,225.02,224.95,224.79,225.07 x 800,225.09 x 800,27964356
28,28-9-2018  14:3:39,225.0321,224.95,224.79,225.0700 x 800,225.0900 x 800,27964356
29,28-9-2018  14:3:55,225.02,224.95,224.79,225.07 x 800,225.08 x 800,27964356
30,28-9-2018  14:4:12,225.0,224.95,224.79,225.06 x 800,225.08 x 800,27964356
31,28-9-2018  14:4:28,225.02,224.95,224.79,225.06 x 800,225.04 x 800,27964356
32,28-9-2018  14:4:44,225.0,224.95,224.79,225.07 x 800,225.04 x 800,27964356
33,28-9-2018  14:5:1,225.0,224.95,224.79,225.070 x 800,225.040 x 800,27964356
34,28-9-2018  14:5:17,224.99,224.95,224.79,225.07 x 800,225.15 x 800,27964356
35,28-9-2018  14:5:34,225.0,224.95,224.79,225.0700 x 800,225.1500 x 800,27964356
36,28-9-2018  14:5:51,225.01,224.95,224.79,225.19 x 800,225.15 x 800,27964356
37,28-9-2018  14:6:7,225.02,224.95,224.79,225.19 x 800,225.19 x 800,27964356
38,28-9-2018  14:6:23,225.0301,224.95,224.79,225.1400 x 800,225.1900 x 800,27964356
39,28-9-2018  14:6:39,225.04,224.95,224.79,225.14 x 800,225.19 x 800,27964356
40,28-9-2018  14:6:56,225.01,224.95,224.79,225.14 x 800,225.16 x 800,27964356
41,28-9-2018  14:7:20,225.03,224.95,224.79,225.10 x 800,225.16 x 800,27964356
42,28-9-2018  14:7:36,225.01,224.95,224.79,225.10 x 800,225.16 x 800,27964356
43,28-9-2018  14:7:53,225.02,224.95,224.79,225.10 x 800,225.12 x 800,27964356
44,28-9-2018  14:8:9,225.02,224.95,224.79,225.100 x 800,225.120 x 800,27964356
45,28-9-2018  14:8:26,225.02,224.95,224.79,225.10 x 800,225.12 x 800,27964356
46,28-9-2018  14:8:42,225.03,224.95,224.79,225.100 x 800,225.110 x 800,27964356
47,28-9-2018  14:8:58,225.06,224.95,224.79,225.09 x 800,225.11 x 800,27964356
48,28-9-2018  14:9:15,225.09,224.95,224.79,225.09 x 800,225.11 x 800,27964356
49,28-9-2018  14:9:31,225.04,224.95,224.79,225.090 x 800,225.090 x 800,27964356
50,28-9-2018  14:9:47,225.01,224.95,224.79,225.10 x 800,225.09 x 800,27964356
51,28-9-2018  14:10:3,224.98,224.95,224.79,225.10 x 800,225.09 x 800,27964356
52,28-9-2018  14:10:20,225.05,224.95,224.79,225.10 x 800,225.04 x 800,27964356
53,28-9-2018  14:10:37,225.0601,224.95,224.79,225.0400 x 800,225.0400 x 800,27964356
54,28-9-2018  14:10:53,225.06,224.95,224.79,225.04 x 800,225.03 x 800,27964356
55,28-9-2018  14:11:9,225.03,224.95,224.79,225.03 x 800,225.03 x 800,27964356
56,28-9-2018  14:11:25,225.01,224.95,224.79,225.03 x 800,225.03 x 800,27964356
57,28-9-2018  14:11:42,224.965,224.95,224.79,225.030 x 800,225.030 x 800,27964356
