time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
2-10-2018  9:35:58,2-10-2018  9:35:58,26.67,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:36:27,2-10-2018  9:36:27,26.6635,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:36:43,2-10-2018  9:36:43,26.5901,26.91,26.51,26.500 x 1000,26.590 x 800,16788706
2-10-2018  9:36:59,2-10-2018  9:36:59,26.58,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:37:15,2-10-2018  9:37:15,26.555,26.91,26.51,26.500 x 1000,26.590 x 800,16788706
2-10-2018  9:37:31,2-10-2018  9:37:31,26.55,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:37:47,2-10-2018  9:37:47,26.6,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:38:34,2-10-2018  9:38:34,26.495,26.91,26.51,26.500 x 1000,26.590 x 800,16788706
2-10-2018  9:38:51,2-10-2018  9:38:51,26.495,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:39:7,2-10-2018  9:39:7,26.53,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:39:23,2-10-2018  9:39:23,26.5149,26.91,26.51,26.5000 x 1000,26.5900 x 800,16788706
2-10-2018  9:39:39,2-10-2018  9:39:39,26.51,26.91,26.51,26.50 x 1000,26.59 x 800,16788706
2-10-2018  9:39:54,2-10-2018  9:39:54,26.515,26.91,26.51,26.500 x 1000,26.630 x 800,16788706
2-10-2018  9:40:10,2-10-2018  9:40:10,26.56,26.91,26.51,26.50 x 1000,26.63 x 800,16788706
2-10-2018  9:40:27,2-10-2018  9:40:27,26.52,26.91,26.51,26.50 x 1000,26.63 x 800,16788706
2-10-2018  9:40:43,2-10-2018  9:40:43,26.5301,26.91,26.51,26.5000 x 1000,26.6500 x 800,16788706
2-10-2018  9:40:59,2-10-2018  9:40:59,26.5605,26.91,26.51,26.5000 x 1000,26.6500 x 800,16788706
2-10-2018  9:41:15,2-10-2018  9:41:15,26.64,26.91,26.51,26.50 x 1000,26.65 x 800,16788706
2-10-2018  9:41:30,2-10-2018  9:41:30,26.59,26.91,26.51,26.50 x 1000,26.65 x 800,16788706
2-10-2018  9:41:46,2-10-2018  9:41:46,26.5564,26.91,26.51,26.5000 x 1000,26.6500 x 800,16788706
2-10-2018  9:42:2,2-10-2018  9:42:2,26.64,26.91,26.51,26.5000 x 1000,26.6500 x 800,16788706
2-10-2018  9:42:18,2-10-2018  9:42:18,26.6499,26.91,26.51,26.5000 x 1000,26.6500 x 800,16788706
2-10-2018  9:42:34,2-10-2018  9:42:34,26.63,26.91,26.51,26.45 x 1000,26.65 x 800,16788706
2-10-2018  9:42:50,2-10-2018  9:42:50,26.585,26.91,26.51,26.450 x 1000,26.650 x 800,16788706
2-10-2018  9:43:6,2-10-2018  9:43:6,26.585,26.91,26.51,26.450 x 1000,26.650 x 800,16788706
2-10-2018  9:43:22,2-10-2018  9:43:22,26.62,26.91,26.51,26.45 x 1000,26.65 x 800,16788706
2-10-2018  9:43:38,2-10-2018  9:43:38,26.64,26.91,26.51,26.45 x 1000,26.65 x 800,16788706
2-10-2018  9:43:54,2-10-2018  9:43:54,26.62,26.91,26.51,26.50 x 1000,26.63 x 800,16788706
2-10-2018  9:44:10,2-10-2018  9:44:10,26.7,26.91,26.51,26.50 x 1000,26.65 x 800,16788706
2-10-2018  9:44:25,2-10-2018  9:44:25,26.695,26.91,26.51,26.500 x 1000,26.650 x 800,16788706
2-10-2018  9:44:41,2-10-2018  9:44:41,26.74,26.91,26.51,26.60 x 1000,26.65 x 800,16788706
2-10-2018  9:44:57,2-10-2018  9:44:57,26.7,26.91,26.51,26.60 x 1000,26.68 x 2200,16788706
2-10-2018  9:45:13,2-10-2018  9:45:13,26.72,26.91,26.51,26.60 x 1000,26.68 x 2200,16788706
2-10-2018  9:45:29,2-10-2018  9:45:29,26.69,26.91,26.51,26.60 x 1000,26.68 x 2200,16788706
2-10-2018  9:45:44,2-10-2018  9:45:44,26.676,26.91,26.51,26.600 x 1000,26.600 x 2200,16788706
2-10-2018  9:46:0,2-10-2018  9:46:0,26.68,26.91,26.51,26.600 x 1000,26.600 x 2200,16788706
2-10-2018  9:46:16,2-10-2018  9:46:16,26.65,26.91,26.51,26.54 x 1000,26.60 x 2200,16788706
2-10-2018  9:46:32,2-10-2018  9:46:32,26.62,26.91,26.51,26.54 x 1000,26.60 x 2200,16788706
2-10-2018  9:46:48,2-10-2018  9:46:48,26.555,26.91,26.51,26.540 x 1000,26.570 x 2200,16788706
2-10-2018  9:47:4,2-10-2018  9:47:4,26.55,26.91,26.51,26.58 x 1000,26.57 x 2200,16788706
2-10-2018  9:47:19,2-10-2018  9:47:19,26.57,26.91,26.51,26.58 x 1000,26.64 x 900,16788706
2-10-2018  9:47:35,2-10-2018  9:47:35,26.56,26.91,26.51,26.580 x 1000,26.640 x 900,16788706
2-10-2018  9:47:51,2-10-2018  9:47:51,26.55,26.91,26.51,26.7600 x 1000,26.6400 x 900,16788706
2-10-2018  9:48:7,2-10-2018  9:48:7,26.46,26.91,26.51,26.76 x 1000,26.80 x 900,16788706
2-10-2018  9:48:23,2-10-2018  9:48:23,26.41,26.91,26.51,26.7600 x 1000,26.8000 x 900,16788706
2-10-2018  9:48:38,2-10-2018  9:48:38,26.39,26.91,26.51,26.76 x 1000,26.80 x 900,16788706
2-10-2018  9:48:55,2-10-2018  9:48:55,26.38,26.91,26.51,26.82 x 1000,26.80 x 900,16788706
2-10-2018  9:49:10,2-10-2018  9:49:10,26.3986,26.91,26.51,26.8200 x 1000,26.8200 x 900,16788706
2-10-2018  9:49:26,2-10-2018  9:49:26,26.4606,26.91,26.51,26.7000 x 1000,26.8200 x 900,16788706
2-10-2018  9:49:42,2-10-2018  9:49:42,26.43,26.91,26.51,26.70 x 1000,26.82 x 900,16788706
2-10-2018  9:49:58,2-10-2018  9:49:58,26.4363,26.91,26.51,26.7000 x 1000,26.8200 x 900,16788706
2-10-2018  9:50:14,2-10-2018  9:50:14,26.38,26.91,26.51,26.70 x 1000,26.64 x 3100,16788706
2-10-2018  9:50:30,2-10-2018  9:50:30,26.37,26.91,26.51,26.61 x 1000,26.64 x 3100,16788706
2-10-2018  9:50:46,2-10-2018  9:50:46,26.38,26.91,26.51,26.61 x 1000,26.74 x 800,16788706
2-10-2018  9:51:2,2-10-2018  9:51:2,26.41,26.91,26.51,26.61 x 1000,26.74 x 800,16788706
2-10-2018  9:51:17,2-10-2018  9:51:17,26.39,26.91,26.51,26.66 x 1000,26.74 x 800,16788706
2-10-2018  9:51:33,2-10-2018  9:51:33,26.3583,26.91,26.51,26.6600 x 1000,26.6700 x 800,16788706
2-10-2018  9:51:49,2-10-2018  9:51:49,26.3,26.91,26.51,26.6600 x 1000,26.6700 x 800,16788706
2-10-2018  9:52:5,2-10-2018  9:52:5,26.28,26.91,26.51,26.58 x 800,26.67 x 800,16788706
2-10-2018  9:52:21,2-10-2018  9:52:21,26.25,26.91,26.51,26.58 x 800,26.58 x 800,16788706
2-10-2018  9:52:37,2-10-2018  9:52:37,26.32,26.91,26.51,26.5800 x 800,26.5800 x 800,16788706
2-10-2018  9:52:53,2-10-2018  9:52:53,26.31,26.91,26.51,26.54 x 800,26.58 x 800,16788706
2-10-2018  9:53:9,2-10-2018  9:53:9,26.27,26.91,26.51,26.54 x 800,26.58 x 800,16788706
2-10-2018  9:53:24,2-10-2018  9:53:24,26.3,26.91,26.51,26.54 x 800,26.58 x 800,16788706
2-10-2018  9:53:41,2-10-2018  9:53:41,26.2601,26.91,26.51,26.4900 x 900,26.5800 x 800,16788706
2-10-2018  9:53:57,2-10-2018  9:53:57,26.25,26.91,26.51,26.49 x 900,26.51 x 800,16788706
2-10-2018  9:54:13,2-10-2018  9:54:13,26.224,26.91,26.51,26.4900 x 900,26.5100 x 800,16788706
2-10-2018  9:54:29,2-10-2018  9:54:29,26.16,26.91,26.51,26.51 x 900,26.51 x 800,16788706
2-10-2018  9:54:45,2-10-2018  9:54:45,26.16,26.91,26.51,26.5100 x 900,26.5100 x 800,16788706
2-10-2018  9:55:1,2-10-2018  9:55:1,26.14,26.91,26.51,26.51 x 900,26.51 x 1400,16788706
2-10-2018  9:55:17,2-10-2018  9:55:17,26.1788,26.91,26.51,26.5200 x 900,26.5100 x 1400,16788706
2-10-2018  9:55:32,2-10-2018  9:55:32,26.15,26.91,26.51,26.52 x 900,26.51 x 1400,16788706
2-10-2018  9:55:49,2-10-2018  9:55:49,26.145,26.91,26.51,26.520 x 900,26.560 x 1400,16788706
2-10-2018  9:56:4,2-10-2018  9:56:4,26.1427,26.91,26.51,26.5600 x 900,26.5600 x 1400,16788706
2-10-2018  9:56:20,2-10-2018  9:56:20,26.135,26.91,26.51,26.560 x 900,26.560 x 1400,16788706
2-10-2018  9:56:36,2-10-2018  9:56:36,26.14,26.91,26.51,26.56 x 900,26.56 x 1400,16788706
2-10-2018  9:56:52,2-10-2018  9:56:52,26.15,26.91,26.51,26.560 x 900,26.600 x 1400,16788706
2-10-2018  9:57:8,2-10-2018  9:57:8,26.14,26.91,26.51,26.57 x 900,26.60 x 1400,16788706
2-10-2018  9:57:24,2-10-2018  9:57:24,26.17,26.91,26.51,26.57 x 900,26.60 x 1400,16788706
2-10-2018  9:57:39,2-10-2018  9:57:39,26.16,26.91,26.51,26.57 x 900,26.64 x 800,16788706
2-10-2018  9:57:56,2-10-2018  9:57:56,26.16,26.91,26.51,26.5700 x 900,26.6400 x 800,16788706
2-10-2018  9:58:11,2-10-2018  9:58:11,26.18,26.91,26.51,26.57 x 900,26.60 x 1000,16788706
2-10-2018  9:58:27,2-10-2018  9:58:27,26.18,26.91,26.51,26.57 x 900,26.60 x 1000,16788706
2-10-2018  9:58:43,2-10-2018  9:58:43,26.15,26.91,26.51,26.57 x 900,26.60 x 1000,16788706
2-10-2018  9:58:59,2-10-2018  9:58:59,26.2238,26.91,26.51,26.6400 x 900,26.6400 x 1000,16788706
