,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,28-9-2018  9:59:37,224.68,224.95,224.79,224.69 x 1000,224.85 x 1000,27964356
2,28-9-2018  10:0:1,224.75,224.95,224.79,224.69 x 1000,224.79 x 1000,27964356
3,28-9-2018  10:0:25,224.69,224.95,224.79,224.700 x 1000,224.790 x 1000,27964356
4,28-9-2018  10:0:49,224.675,224.95,224.79,224.700 x 1000,224.660 x 1000,27964356
5,28-9-2018  10:1:14,224.7,224.95,224.79,224.41 x 1000,224.66 x 1000,27964356
6,28-9-2018  10:1:38,224.61,224.95,224.79,224.41 x 1000,224.43 x 1000,27964356
7,28-9-2018  10:2:2,224.93,224.95,224.79,224.42 x 1000,224.47 x 1000,27964356
8,28-9-2018  10:2:26,224.84,224.95,224.79,224.42 x 1000,224.47 x 1000,27964356
9,28-9-2018  10:2:51,224.84,224.95,224.79,224.41 x 1000,224.52 x 1000,27964356
10,28-9-2018  10:3:15,224.91,224.95,224.79,224.41 x 1000,224.52 x 1000,27964356
11,28-9-2018  10:3:39,225.07,224.95,224.79,224.61 x 1000,224.54 x 1000,27964356
12,28-9-2018  10:4:3,225.1169,224.95,224.79,224.6100 x 1000,224.5400 x 1000,27964356
13,28-9-2018  10:4:27,225.07,224.95,224.79,224.61 x 1000,224.74 x 1000,27964356
14,28-9-2018  10:4:52,224.91,224.95,224.79,224.6100 x 1000,224.7400 x 1000,27964356
15,28-9-2018  10:5:16,225.07,224.95,224.79,224.82 x 1000,224.79 x 1000,27964356
16,28-9-2018  10:5:40,225.14,224.95,224.79,224.82 x 1000,224.79 x 1000,27964356
17,28-9-2018  10:6:4,225.11,224.95,224.79,224.70 x 1000,224.73 x 1000,27964356
18,28-9-2018  10:6:28,225.09,224.95,224.79,224.58 x 1000,224.73 x 1000,27964356
19,28-9-2018  10:6:52,225.07,224.95,224.79,224.58 x 1000,224.44 x 1000,27964356
20,28-9-2018  10:7:16,225.05,224.95,224.79,224.47 x 1000,224.44 x 1000,27964356
21,28-9-2018  10:7:40,225.0325,224.95,224.79,224.4700 x 1000,224.4800 x 1000,27964356
22,28-9-2018  10:8:4,225.06,224.95,224.79,224.40 x 1000,224.48 x 1000,27964356
23,28-9-2018  10:8:28,225.01,224.95,224.79,224.40 x 1000,224.53 x 1000,27964356
24,28-9-2018  10:8:52,225.03,224.95,224.79,224.40 x 1000,224.53 x 1000,27964356
25,28-9-2018  10:9:17,225.05,224.95,224.79,224.40 x 1000,224.52 x 1000,27964356
26,28-9-2018  10:9:42,225.01,224.95,224.79,224.37 x 1000,224.52 x 1000,27964356
27,28-9-2018  10:10:6,225.07,224.95,224.79,224.37 x 1000,224.47 x 1000,27964356
28,28-9-2018  10:10:30,225.01,224.95,224.79,224.49 x 1000,224.50 x 1000,27964356
29,28-9-2018  10:10:54,224.99,224.95,224.79,224.49 x 1000,224.50 x 1000,27964356
30,28-9-2018  10:11:18,225.11,224.95,224.79,224.41 x 1000,224.45 x 1000,27964356
31,28-9-2018  10:11:42,225.04,224.95,224.79,224.41 x 1000,224.45 x 1000,27964356
32,28-9-2018  10:12:6,224.97,224.95,224.79,224.43 x 1000,224.39 x 1000,27964356
33,28-9-2018  10:12:30,224.94,224.95,224.79,224.43 x 1000,224.39 x 1000,27964356
34,28-9-2018  10:12:54,224.8,224.95,224.79,224.45 x 1000,224.39 x 1000,27964356
35,28-9-2018  10:13:19,224.8,224.95,224.79,224.45 x 1000,224.49 x 1000,27964356
36,28-9-2018  10:13:43,224.73,224.95,224.79,224.69 x 1000,224.71 x 1000,27964356
37,28-9-2018  10:14:7,224.72,224.95,224.79,224.690 x 1000,224.710 x 1000,27964356
38,28-9-2018  10:14:31,224.76,224.95,224.79,224.74 x 1000,224.68 x 1000,27964356
39,28-9-2018  10:14:55,224.74,224.95,224.79,224.74 x 1000,224.68 x 1000,27964356
40,28-9-2018  10:15:19,224.72,224.95,224.79,224.83 x 1000,224.77 x 1000,27964356
41,28-9-2018  10:15:44,224.83,224.95,224.79,224.6700 x 1000,224.7700 x 1000,27964356
42,28-9-2018  10:16:8,224.92,224.95,224.79,224.67 x 1000,224.67 x 1000,27964356
43,28-9-2018  10:16:32,224.9,224.95,224.79,224.71 x 1000,224.67 x 1000,27964356
44,28-9-2018  10:16:56,224.87,224.95,224.79,224.71 x 1000,224.71 x 1000,27964356
45,28-9-2018  10:17:20,225.02,224.95,224.79,224.90 x 1000,224.71 x 1000,27964356
46,28-9-2018  10:17:44,225.1,224.95,224.79,224.90 x 1000,224.84 x 1000,27964356
47,28-9-2018  10:18:9,225.0295,224.95,224.79,224.8200 x 1000,224.8400 x 1000,27964356
48,28-9-2018  10:18:33,225.09,224.95,224.79,224.8200 x 1000,224.9300 x 1000,27964356
49,28-9-2018  10:18:57,225.1,224.95,224.79,225.12 x 1000,224.93 x 1000,27964356
50,28-9-2018  10:19:21,225.07,224.95,224.79,225.12 x 1000,225.11 x 1000,27964356
51,28-9-2018  10:19:45,225.05,224.95,224.79,225.03 x 1000,225.11 x 1000,27964356
52,28-9-2018  10:20:9,225.01,224.95,224.79,225.03 x 1000,224.97 x 1000,27964356
53,28-9-2018  10:20:33,224.97,224.95,224.79,225.07 x 1000,224.97 x 1000,27964356
54,28-9-2018  10:20:58,224.83,224.95,224.79,225.07 x 1000,225.09 x 1000,27964356
55,28-9-2018  10:21:22,224.887,224.95,224.79,225.110 x 1000,225.170 x 1000,27964356
56,28-9-2018  10:21:46,224.93,224.95,224.79,225.11 x 1000,225.17 x 1000,27964356
57,28-9-2018  10:22:10,224.94,224.95,224.79,225.06 x 1000,225.03 x 1000,27964356
58,28-9-2018  10:22:34,225.02,224.95,224.79,225.06 x 1000,225.03 x 1000,27964356
59,28-9-2018  10:22:58,224.89,224.95,224.79,225.02 x 1000,225.10 x 1000,27964356
60,28-9-2018  10:23:23,224.61,224.95,224.79,225.02 x 1000,225.10 x 1000,27964356
61,28-9-2018  10:23:47,224.69,224.95,224.79,225.0000 x 1000,225.0200 x 1000,27964356
62,28-9-2018  10:24:11,224.79,224.95,224.79,225.0000 x 1000,225.0200 x 1000,27964356
63,28-9-2018  10:24:35,224.77,224.95,224.79,225.05 x 1000,225.02 x 1000,27964356
64,28-9-2018  10:24:59,225.0,224.95,224.79,225.050 x 1000,225.020 x 1000,27964356
65,28-9-2018  10:25:23,225.01,224.95,224.79,225.06 x 1000,225.06 x 1000,27964356
66,28-9-2018  10:25:47,224.9,224.95,224.79,225.06 x 1000,225.06 x 1000,27964356
67,28-9-2018  10:26:11,224.82,224.95,224.79,225.06 x 1000,225.00 x 1000,27964356
68,28-9-2018  10:26:36,224.98,224.95,224.79,225.0600 x 1000,225.0000 x 1000,27964356
69,28-9-2018  10:27:0,224.89,224.95,224.79,225.05 x 1000,225.06 x 1000,27964356
70,28-9-2018  10:27:24,224.7376,224.95,224.79,224.8900 x 1000,225.0600 x 1000,27964356
71,28-9-2018  10:27:48,224.81,224.95,224.79,224.89 x 1000,224.93 x 1000,27964356
72,28-9-2018  10:28:13,224.8,224.95,224.79,224.81 x 1000,224.93 x 1000,27964356
73,28-9-2018  10:28:37,224.87,224.95,224.79,224.81 x 1000,224.80 x 1000,27964356
74,28-9-2018  10:29:1,224.84,224.95,224.79,224.72 x 1000,224.80 x 1000,27964356
75,28-9-2018  10:29:26,224.85,224.95,224.79,224.7200 x 1000,224.7100 x 1000,27964356
76,28-9-2018  10:29:50,224.79,224.95,224.79,224.73 x 1000,224.71 x 1000,27964356
77,28-9-2018  10:30:15,224.81,224.95,224.79,224.73 x 1000,224.75 x 1000,27964356
78,28-9-2018  10:30:39,224.73,224.95,224.79,224.71 x 1000,224.87 x 1000,27964356
79,28-9-2018  10:31:3,224.75,224.95,224.79,224.7100 x 1000,224.8700 x 1000,27964356
