,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,28-9-2018  9:59:38,1188.39,1194.64,1191.87,1188.26 x 1000,1189.09 x 800,1414690
2,28-9-2018  10:0:2,1189.01,1194.64,1191.87,1188.26 x 1000,1189.09 x 800,1414690
3,28-9-2018  10:0:27,1188.925,1194.64,1191.87,1188.26 x 1000,1189.09 x 800,1414690
4,28-9-2018  10:0:51,1188.99,1194.64,1191.87,1189.54 x 1000,1189.34 x 800,1414690
5,28-9-2018  10:1:15,1188.99,1194.64,1191.87,1188.05 x 1000,1188.98 x 800,1414690
6,28-9-2018  10:1:39,1190.99,1194.64,1191.87,1188.05 x 1000,1188.98 x 800,1414690
7,28-9-2018  10:2:4,1191.05,1194.64,1191.87,1188.05 x 1000,1187.89 x 800,1414690
8,28-9-2018  10:2:28,1191.1459,1194.64,1191.87,1186.9900 x 1000,1187.8900 x 800,1414690
9,28-9-2018  10:2:52,1191.25,1194.64,1191.87,1186.64 x 1000,1187.32 x 800,1414690
10,28-9-2018  10:3:16,1191.12,1194.64,1191.87,1186.64 x 1000,1188.76 x 800,1414690
11,28-9-2018  10:3:40,1191.12,1194.64,1191.87,1188.74 x 1000,1188.76 x 800,1414690
12,28-9-2018  10:4:4,1191.37,1194.64,1191.87,1188.74 x 1000,1188.76 x 800,1414690
13,28-9-2018  10:4:29,1190.76,1194.64,1191.87,1188.740 x 1000,1188.760 x 800,1414690
14,28-9-2018  10:4:53,1189.86,1194.64,1191.87,1188.50 x 1000,1189.47 x 800,1414690
15,28-9-2018  10:5:17,1189.98,1194.64,1191.87,1187.21 x 1000,1187.99 x 800,1414690
16,28-9-2018  10:5:41,1189.1415,1194.64,1191.87,1187.2100 x 1000,1187.2700 x 800,1414690
17,28-9-2018  10:6:5,1189.14,1194.64,1191.87,1187.16 x 1000,1187.27 x 800,1414690
18,28-9-2018  10:6:29,1189.14,1194.64,1191.87,1187.16 x 1000,1187.99 x 800,1414690
19,28-9-2018  10:6:53,1188.31,1194.64,1191.87,1187.11 x 1000,1187.99 x 800,1414690
20,28-9-2018  10:7:18,1188.78,1194.64,1191.87,1187.180 x 1000,1187.610 x 800,1414690
21,28-9-2018  10:7:42,1188.99,1194.64,1191.87,1187.1801 x 1000,1187.6100 x 800,1414690
22,28-9-2018  10:8:6,1189.13,1194.64,1191.87,1187.1801 x 1000,1187.6100 x 800,1414690
23,28-9-2018  10:8:30,1189.13,1194.64,1191.87,1187.41 x 1000,1188.39 x 800,1414690
24,28-9-2018  10:8:54,1188.63,1194.64,1191.87,1187.410 x 1000,1188.270 x 800,1414690
25,28-9-2018  10:9:19,1188.5,1194.64,1191.87,1187.41 x 1000,1188.27 x 800,1414690
26,28-9-2018  10:9:43,1188.28,1194.64,1191.87,1187.41 x 1000,1188.27 x 800,1414690
27,28-9-2018  10:10:7,1188.07,1194.64,1191.87,1187.41 x 1000,1188.27 x 800,1414690
28,28-9-2018  10:10:31,1186.8,1194.64,1191.87,1187.000 x 1000,1187.740 x 800,1414690
29,28-9-2018  10:10:55,1186.98,1194.64,1191.87,1187.00 x 1000,1187.74 x 800,1414690
30,28-9-2018  10:11:19,1186.98,1194.64,1191.87,1186.08 x 1000,1186.56 x 800,1414690
31,28-9-2018  10:11:43,1187.04,1194.64,1191.87,1186.08 x 1000,1186.56 x 800,1414690
32,28-9-2018  10:12:7,1187.04,1194.64,1191.87,1186.900 x 1000,1187.800 x 800,1414690
33,28-9-2018  10:12:31,1186.79,1194.64,1191.87,1186.90 x 1000,1187.80 x 800,1414690
34,28-9-2018  10:12:56,1186.54,1194.64,1191.87,1186.89 x 1000,1187.58 x 800,1414690
35,28-9-2018  10:13:20,1186.57,1194.64,1191.87,1186.89 x 1000,1187.58 x 800,1414690
36,28-9-2018  10:13:44,1186.57,1194.64,1191.87,1187.97 x 1000,1188.13 x 800,1414690
37,28-9-2018  10:14:9,1186.57,1194.64,1191.87,1187.97 x 1000,1188.13 x 800,1414690
38,28-9-2018  10:14:32,1186.84,1194.64,1191.87,1187.97 x 1000,1188.13 x 800,1414690
39,28-9-2018  10:14:57,1186.52,1194.64,1191.87,1188.38 x 1000,1189.21 x 800,1414690
40,28-9-2018  10:15:21,1187.33,1194.64,1191.87,1189.000 x 1000,1189.990 x 800,1414690
41,28-9-2018  10:15:45,1187.33,1194.64,1191.87,1189.00 x 1000,1189.99 x 800,1414690
42,28-9-2018  10:16:9,1187.73,1194.64,1191.87,1188.81 x 1000,1189.51 x 800,1414690
43,28-9-2018  10:16:33,1187.73,1194.64,1191.87,1190.01 x 1000,1190.72 x 800,1414690
44,28-9-2018  10:16:57,1187.0,1194.64,1191.87,1190.01 x 1000,1190.72 x 800,1414690
45,28-9-2018  10:17:21,1187.6,1194.64,1191.87,1190.01 x 1000,1190.72 x 800,1414690
46,28-9-2018  10:17:45,1187.6,1194.64,1191.87,1190.01 x 1000,1190.72 x 800,1414690
47,28-9-2018  10:18:10,1187.6,1194.64,1191.87,1190.8000 x 1000,1191.7100 x 800,1414690
48,28-9-2018  10:18:34,1187.8,1194.64,1191.87,1190.80 x 1000,1191.71 x 800,1414690
49,28-9-2018  10:18:58,1188.33,1194.64,1191.87,1190.80 x 1000,1191.71 x 800,1414690
50,28-9-2018  10:19:22,1188.33,1194.64,1191.87,1190.80 x 1000,1191.71 x 800,1414690
51,28-9-2018  10:19:46,1188.735,1194.64,1191.87,1190.19 x 1000,1191.44 x 800,1414690
52,28-9-2018  10:20:10,1188.64,1194.64,1191.87,1190.19 x 1000,1190.03 x 800,1414690
53,28-9-2018  10:20:35,1188.79,1194.64,1191.87,1190.19 x 1000,1190.03 x 800,1414690
54,28-9-2018  10:20:59,1188.035,1194.64,1191.87,1188.690 x 1000,1190.030 x 800,1414690
55,28-9-2018  10:21:24,1188.02,1194.64,1191.87,1188.69 x 1000,1190.03 x 800,1414690
56,28-9-2018  10:21:47,1188.02,1194.64,1191.87,1188.70 x 1000,1189.22 x 800,1414690
