,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1,28-9-2018  9:59:36,27.9898,27.75,27.75,28.1500 x 800,28.1800 x 1100,17541618
2,28-9-2018  10:0:0,27.98,27.75,27.75,28.08 x 800,28.10 x 1100,17541618
3,28-9-2018  10:0:24,27.9,27.75,27.75,28.08 x 800,28.10 x 1100,17541618
4,28-9-2018  10:0:48,27.87,27.75,27.75,28.06 x 800,28.09 x 1100,17541618
5,28-9-2018  10:1:12,27.87,27.75,27.75,28.06 x 800,28.09 x 1100,17541618
6,28-9-2018  10:1:37,27.88,27.75,27.75,28.06 x 800,28.09 x 800,17541618
7,28-9-2018  10:2:1,27.9,27.75,27.75,28.1000 x 800,28.1000 x 800,17541618
8,28-9-2018  10:2:25,27.9,27.75,27.75,28.0300 x 800,28.0400 x 800,17541618
9,28-9-2018  10:2:49,27.905,27.75,27.75,28.0300 x 800,28.0400 x 800,17541618
10,28-9-2018  10:3:13,27.8523,27.75,27.75,28.0300 x 800,28.0400 x 800,17541618
11,28-9-2018  10:3:38,27.84,27.75,27.75,28.06 x 800,28.08 x 800,17541618
12,28-9-2018  10:4:2,27.86,27.75,27.75,28.06 x 800,28.08 x 800,17541618
13,28-9-2018  10:4:26,27.8518,27.75,27.75,28.2200 x 900,28.2400 x 800,17541618
14,28-9-2018  10:4:50,27.7163,27.75,27.75,28.2200 x 900,28.2400 x 800,17541618
15,28-9-2018  10:5:14,27.695,27.75,27.75,28.1300 x 900,28.1500 x 800,17541618
16,28-9-2018  10:5:39,27.72,27.75,27.75,28.13 x 900,28.15 x 800,17541618
17,28-9-2018  10:6:3,27.66,27.75,27.75,28.13 x 900,28.15 x 800,17541618
18,28-9-2018  10:6:26,27.6806,27.75,27.75,28.0500 x 900,28.0900 x 800,17541618
19,28-9-2018  10:6:51,27.66,27.75,27.75,28.01 x 900,28.06 x 800,17541618
20,28-9-2018  10:7:15,27.6101,27.75,27.75,28.0100 x 900,28.0600 x 800,17541618
21,28-9-2018  10:7:39,27.6001,27.75,27.75,28.04 x 1100,28.05 x 800,17541618
22,28-9-2018  10:8:3,27.62,27.75,27.75,28.04 x 1100,28.05 x 800,17541618
23,28-9-2018  10:8:27,27.58,27.75,27.75,28.02 x 1100,28.04 x 800,17541618
24,28-9-2018  10:8:51,27.5162,27.75,27.75,28.0200 x 1100,28.0400 x 800,17541618
25,28-9-2018  10:9:16,27.5388,27.75,27.75,28.0200 x 1100,27.9300 x 800,17541618
26,28-9-2018  10:9:40,27.4462,27.75,27.75,27.9100 x 1100,27.9300 x 800,17541618
27,28-9-2018  10:10:4,27.48,27.75,27.75,27.91 x 1100,27.96 x 800,17541618
28,28-9-2018  10:10:28,27.4201,27.75,27.75,27.9300 x 1100,27.9600 x 800,17541618
29,28-9-2018  10:10:52,27.38,27.75,27.75,27.93 x 1100,27.95 x 800,17541618
30,28-9-2018  10:11:16,27.4489,27.75,27.75,27.8200 x 1100,27.9500 x 800,17541618
31,28-9-2018  10:11:41,27.47,27.75,27.75,27.82 x 1100,27.89 x 800,17541618
32,28-9-2018  10:12:4,27.444,27.75,27.75,27.880 x 1100,27.890 x 800,17541618
33,28-9-2018  10:12:29,27.4299,27.75,27.75,27.8800 x 1100,27.9000 x 800,17541618
34,28-9-2018  10:12:53,27.3662,27.75,27.75,27.8800 x 1100,27.9000 x 800,17541618
35,28-9-2018  10:13:17,27.32,27.75,27.75,27.88 x 1100,27.89 x 800,17541618
36,28-9-2018  10:13:41,27.295,27.75,27.75,27.87 x 1100,27.89 x 800,17541618
37,28-9-2018  10:14:6,27.318,27.75,27.75,27.87 x 1100,27.94 x 800,17541618
38,28-9-2018  10:14:30,27.4578,27.75,27.75,27.9300 x 1100,27.9400 x 800,17541618
39,28-9-2018  10:14:54,27.392,27.75,27.75,27.93 x 1100,27.94 x 800,17541618
40,28-9-2018  10:15:18,27.48,27.75,27.75,27.93 x 1100,27.98 x 800,17541618
41,28-9-2018  10:15:42,27.4504,27.75,27.75,27.9300 x 1100,27.9800 x 800,17541618
42,28-9-2018  10:16:6,27.5,27.75,27.75,27.8800 x 1100,27.9100 x 800,17541618
43,28-9-2018  10:16:31,27.5158,27.75,27.75,27.8800 x 1100,27.9100 x 800,17541618
44,28-9-2018  10:16:55,27.56,27.75,27.75,27.86 x 1100,27.87 x 900,17541618
45,28-9-2018  10:17:19,27.5,27.75,27.75,27.8600 x 1100,27.8700 x 900,17541618
46,28-9-2018  10:17:43,27.5375,27.75,27.75,27.8600 x 1100,27.8700 x 900,17541618
47,28-9-2018  10:18:7,27.51,27.75,27.75,27.87 x 1100,27.91 x 900,17541618
48,28-9-2018  10:18:31,27.5091,27.75,27.75,27.8700 x 1100,27.8500 x 900,17541618
49,28-9-2018  10:18:55,27.561,27.75,27.75,27.8100 x 1100,27.8500 x 900,17541618
50,28-9-2018  10:19:19,27.57,27.75,27.75,27.81 x 1100,27.85 x 900,17541618
51,28-9-2018  10:19:44,27.56,27.75,27.75,27.8100 x 1100,27.8700 x 900,17541618
52,28-9-2018  10:20:8,27.552,27.75,27.75,27.810 x 1100,27.870 x 900,17541618
53,28-9-2018  10:20:32,27.58,27.75,27.75,27.68 x 1100,27.71 x 900,17541618
54,28-9-2018  10:20:56,27.53,27.75,27.75,27.68 x 1100,27.71 x 900,17541618
55,28-9-2018  10:21:21,27.49,27.75,27.75,27.66 x 1100,27.68 x 900,17541618
56,28-9-2018  10:21:45,27.52,27.75,27.75,27.66 x 1100,27.68 x 900,17541618
57,28-9-2018  10:22:9,27.5153,27.75,27.75,27.6400 x 1100,27.6800 x 900,17541618
58,28-9-2018  10:22:33,27.55,27.75,27.75,27.64 x 1100,27.68 x 900,17541618
59,28-9-2018  10:22:57,27.5871,27.75,27.75,27.6400 x 1100,27.6800 x 900,17541618
60,28-9-2018  10:23:21,27.51,27.75,27.75,27.61 x 1100,27.62 x 1400,17541618
61,28-9-2018  10:23:46,27.52,27.75,27.75,27.570 x 1100,27.620 x 1400,17541618
62,28-9-2018  10:24:9,27.53,27.75,27.75,27.5700 x 1100,27.5700 x 1000,17541618
63,28-9-2018  10:24:34,27.54,27.75,27.75,27.5300 x 1100,27.4700 x 1000,17541618
64,28-9-2018  10:24:58,27.54,27.75,27.75,27.53 x 1100,27.47 x 1000,17541618
65,28-9-2018  10:25:22,27.58,27.75,27.75,27.43 x 1100,27.47 x 1000,17541618
66,28-9-2018  10:25:46,27.588,27.75,27.75,27.4300 x 1100,27.4800 x 1000,17541618
67,28-9-2018  10:26:10,27.5862,27.75,27.75,27.3600 x 1100,27.4800 x 1000,17541618
68,28-9-2018  10:26:34,27.59,27.75,27.75,27.36 x 1100,27.44 x 1000,17541618
69,28-9-2018  10:26:59,27.6057,27.75,27.75,27.4600 x 1100,27.4400 x 1000,17541618
70,28-9-2018  10:27:23,27.595,27.75,27.75,27.460 x 1100,27.440 x 1000,17541618
71,28-9-2018  10:27:47,27.58,27.75,27.75,27.4000 x 1100,27.4500 x 1000,17541618
72,28-9-2018  10:28:11,27.59,27.75,27.75,27.40 x 1100,27.36 x 1000,17541618
73,28-9-2018  10:28:36,27.58,27.75,27.75,27.28 x 1200,27.36 x 1000,17541618
74,28-9-2018  10:29:0,27.6,27.75,27.75,27.28 x 1200,27.31 x 800,17541618
75,28-9-2018  10:29:24,27.63,27.75,27.75,27.34 x 1200,27.31 x 800,17541618
76,28-9-2018  10:29:49,27.655,27.75,27.75,27.340 x 1200,27.310 x 800,17541618
77,28-9-2018  10:30:13,27.64,27.75,27.75,27.410 x 1200,27.410 x 800,17541618
78,28-9-2018  10:30:38,27.58,27.75,27.75,27.41 x 1200,27.41 x 800,17541618
79,28-9-2018  10:31:2,27.5999,27.75,27.75,27.4100 x 1200,27.4800 x 800,17541618
80,28-9-2018  10:31:26,27.61,27.75,27.75,27.46 x 1200,27.48 x 800,17541618
81,28-9-2018  10:31:50,27.6,27.75,27.75,27.46 x 1200,27.53 x 800,17541618
82,28-9-2018  10:32:14,27.6,27.75,27.75,27.53 x 1200,27.53 x 800,17541618
83,28-9-2018  10:32:38,27.53,27.75,27.75,27.53 x 1200,27.54 x 800,17541618
84,28-9-2018  10:33:2,27.52,27.75,27.75,27.53 x 1200,27.54 x 800,17541618
85,28-9-2018  10:33:26,27.51,27.75,27.75,27.50 x 1000,27.54 x 800,17541618
