time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:38,223.84,222.15,220.01 x 800,219.97 x 900,16745743
17:9:2018  12:30:53,223.84,222.15,220.0100 x 800,219.9700 x 900,16756747
17:9:2018  12:31:7,223.84,222.15,220.01 x 800,219.97 x 900,16782265
17:9:2018  12:31:22,223.84,222.15,220.0100 x 800,219.9700 x 900,16802486
17:9:2018  12:31:36,223.84,222.15,220.0100 x 800,220.0100 x 1400,16806823
17:9:2018  12:31:51,223.84,222.15,220.01 x 800,220.01 x 1400,16818814
17:9:2018  12:32:5,223.84,222.15,220.09 x 800,220.01 x 1400,16824907
17:9:2018  12:32:19,223.84,222.15,220.0900 x 800,220.0100 x 1400,16833712
17:9:2018  12:32:33,223.84,222.15,220.0900 x 800,220.1000 x 1400,16837933
17:9:2018  12:32:47,223.84,222.15,220.09 x 800,220.10 x 1400,16844273
17:9:2018  12:33:2,223.84,222.15,220.10 x 800,220.10 x 1400,16851584
17:9:2018  12:33:16,223.84,222.15,220.10 x 800,220.10 x 1400,16859163
17:9:2018  12:33:30,223.84,222.15,220.1000 x 800,220.1300 x 1400,16869103
17:9:2018  12:33:44,223.84,222.15,220.09 x 800,220.13 x 1400,16882634
17:9:2018  12:33:58,223.84,222.15,220.09 x 800,220.13 x 1400,16893602
17:9:2018  12:34:12,223.84,222.15,220.09 x 800,220.14 x 1400,16897552
17:9:2018  12:34:26,223.84,222.15,220.18 x 800,220.14 x 1400,16899193
17:9:2018  12:34:40,223.84,222.15,220.1800 x 800,220.1400 x 1400,16905765
17:9:2018  12:34:54,223.84,222.15,220.1800 x 800,220.2400 x 1400,16917399
17:9:2018  12:35:8,223.84,222.15,220.32 x 800,220.24 x 1400,16934269
17:9:2018  12:35:22,223.84,222.15,220.32 x 800,220.24 x 1400,16943345
17:9:2018  12:35:36,223.84,222.15,220.320 x 800,220.300 x 1400,16950387
17:9:2018  12:35:50,223.84,222.15,220.32 x 800,220.30 x 1400,16955642
17:9:2018  12:36:4,223.84,222.15,220.29 x 800,220.30 x 1400,16960933
17:9:2018  12:36:19,223.84,222.15,220.29 x 800,220.30 x 1400,16969803
17:9:2018  12:36:33,223.84,222.15,220.29 x 800,220.30 x 1400,16975185
17:9:2018  12:36:47,223.84,222.15,220.29 x 800,220.30 x 1400,16986666
17:9:2018  12:37:2,223.84,222.15,220.290 x 800,220.300 x 1400,16991883
17:9:2018  12:37:15,223.84,222.15,220.29 x 800,220.32 x 1400,16996620
17:9:2018  12:37:29,223.84,222.15,220.290 x 800,220.320 x 1400,17007006
17:9:2018  12:37:43,223.84,222.15,220.35 x 800,220.32 x 1400,17011434
17:9:2018  12:37:58,223.84,222.15,220.35 x 800,220.41 x 1400,17013058
17:9:2018  12:38:12,223.84,222.15,220.3500 x 800,220.4100 x 1400,17023093
17:9:2018  12:38:26,223.84,222.15,220.34 x 800,220.41 x 1400,17039363
17:9:2018  12:38:40,223.84,222.15,220.34 x 800,220.41 x 1400,17044287
17:9:2018  12:38:55,223.84,222.15,220.34 x 800,220.34 x 1400,17052562
17:9:2018  12:39:9,223.84,222.15,220.300 x 900,220.340 x 1400,17055821
17:9:2018  12:39:23,223.84,222.15,220.30 x 900,220.34 x 1400,17062223
17:9:2018  12:39:37,223.84,222.15,220.30 x 900,220.41 x 1400,17072480
17:9:2018  12:39:51,223.84,222.15,220.420 x 900,220.410 x 1400,17075592
17:9:2018  12:40:6,223.84,222.15,220.42 x 900,220.41 x 1400,17080465
17:9:2018  12:40:19,223.84,222.15,220.4200 x 900,220.4100 x 1400,17086938
17:9:2018  12:40:34,223.84,222.15,220.4700 x 900,220.4400 x 1400,17102356
17:9:2018  12:40:48,223.84,222.15,220.47 x 900,220.44 x 1400,17122010
17:9:2018  12:41:3,223.84,222.15,220.47 x 900,220.44 x 1400,17127284
17:9:2018  12:41:17,223.84,222.15,220.47 x 900,220.50 x 1400,17130610
17:9:2018  12:41:31,223.84,222.15,220.510 x 800,220.500 x 1400,17134587
17:9:2018  12:41:45,223.84,222.15,220.510 x 800,220.500 x 1400,17142109
17:9:2018  12:41:59,223.84,222.15,220.51 x 800,220.50 x 1400,17148819
17:9:2018  12:42:13,223.84,222.15,220.51 x 800,220.54 x 1400,17155500
17:9:2018  12:42:27,223.84,222.15,220.4800 x 800,220.5400 x 1400,17160865
17:9:2018  12:42:41,223.84,222.15,220.48 x 800,220.54 x 1400,17167459
17:9:2018  12:42:55,223.84,222.15,220.480 x 800,220.410 x 900,17172929
17:9:2018  12:43:10,223.84,222.15,220.39 x 800,220.41 x 900,17178723
17:9:2018  12:43:24,223.84,222.15,220.3900 x 800,220.4100 x 900,17181020
17:9:2018  12:43:38,223.84,222.15,220.39 x 800,220.41 x 900,17186047
17:9:2018  12:43:52,223.84,222.15,220.45 x 800,220.47 x 900,17191390
17:9:2018  12:44:6,223.84,222.15,220.4500 x 800,220.4700 x 900,17196096
17:9:2018  12:44:20,223.84,222.15,220.4500 x 800,220.4700 x 900,17200740
17:9:2018  12:44:34,223.84,222.15,220.42 x 800,220.49 x 900,17203785
17:9:2018  12:44:48,223.84,222.15,220.420 x 800,220.490 x 900,17204847
17:9:2018  12:45:2,223.84,222.15,220.42 x 800,220.49 x 900,17211245
17:9:2018  12:45:16,223.84,222.15,220.42 x 800,220.44 x 900,17225616
17:9:2018  12:45:30,223.84,222.15,220.4500 x 800,220.4400 x 900,17237140
17:9:2018  12:45:44,223.84,222.15,220.45 x 800,220.44 x 900,17241087
17:9:2018  12:45:58,223.84,222.15,220.4500 x 800,220.3300 x 900,17247878
17:9:2018  12:46:12,223.84,222.15,220.22 x 800,220.33 x 900,17251428
17:9:2018  12:46:26,223.84,222.15,220.22 x 800,220.33 x 900,17257229
17:9:2018  12:46:40,223.84,222.15,220.2200 x 800,220.3300 x 900,17260044
17:9:2018  12:46:53,223.84,222.15,220.22 x 800,220.25 x 900,17264225
17:9:2018  12:47:8,223.84,222.15,220.27 x 800,220.25 x 900,17268844
17:9:2018  12:47:22,223.84,222.15,220.27 x 800,220.25 x 900,17278809
17:9:2018  12:47:36,223.84,222.15,220.27 x 800,220.28 x 1200,17283088
17:9:2018  12:47:50,223.84,222.15,220.27 x 800,220.28 x 1200,17285864
17:9:2018  12:48:4,223.84,222.15,220.270 x 800,220.280 x 1200,17295110
17:9:2018  12:48:18,223.84,222.15,220.270 x 800,220.280 x 1200,17299658
17:9:2018  12:48:32,223.84,222.15,220.240 x 800,220.260 x 900,17306214
17:9:2018  12:48:47,223.84,222.15,220.24 x 800,220.26 x 900,17309522
17:9:2018  12:49:0,223.84,222.15,220.24 x 800,220.26 x 900,17322430
17:9:2018  12:49:15,223.84,222.15,220.24 x 800,220.26 x 900,17334720
17:9:2018  12:49:29,223.84,222.15,220.20 x 800,220.21 x 900,17344823
17:9:2018  12:49:42,223.84,222.15,220.20 x 800,220.21 x 900,17353295
17:9:2018  12:49:56,223.84,222.15,220.20 x 800,220.21 x 900,17363706
17:9:2018  12:50:10,223.84,222.15,220.06 x 800,220.07 x 900,17377214
17:9:2018  12:50:24,223.84,222.15,220.060 x 800,220.070 x 900,17388034
17:9:2018  12:50:38,223.84,222.15,220.0600 x 800,220.0700 x 900,17407071
17:9:2018  12:50:52,223.84,222.15,220.06 x 800,220.07 x 900,17411073
17:9:2018  12:51:6,223.84,222.15,220.12 x 800,220.14 x 900,17418949
17:9:2018  12:51:21,223.84,222.15,220.1200 x 800,220.1400 x 900,17424399
17:9:2018  12:51:37,223.84,222.15,220.1200 x 800,220.1400 x 900,17431870
17:9:2018  12:51:53,223.84,222.15,220.1500 x 900,220.1600 x 900,17443272
