     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:35,"1,970.1899","1,954.7300","1,926.7300 x 1100","1,927.9301 x 800","4,362,363"
17:9:2018  12:30:49,"1,970.19","1,954.73","1,926.73 x 1100","1,927.00 x 800","4,363,269"
17:9:2018  12:31:4,"1,970.19","1,954.73","1,926.73 x 1100","1,927.00 x 800","4,365,673"
17:9:2018  12:31:18,"1,970.19","1,954.73","1,927.45 x 1100","1,927.00 x 800","4,368,448"
17:9:2018  12:31:33,"1,970.190","1,954.730","1,927.450 x 1100","1,928.810 x 800","4,371,110"
17:9:2018  12:31:47,"1,970.19","1,954.73","1,927.45 x 1100","1,928.81 x 800","4,372,664"
17:9:2018  12:32:2,"1,970.190","1,954.730","1,928.010 x 1100","1,928.810 x 800","4,373,825"
17:9:2018  12:32:16,"1,970.19","1,954.73","1,928.01 x 1100","1,928.81 x 800","4,381,125"
17:9:2018  12:32:30,"1,970.19","1,954.73","1,928.19 x 1100","1,928.47 x 800","4,384,497"
17:9:2018  12:32:44,"1,970.19","1,954.73","1,928.19 x 1100","1,928.47 x 800","4,385,961"
17:9:2018  12:32:58,"1,970.19","1,954.73","1,928.19 x 1100","1,928.47 x 800","4,386,704"
17:9:2018  12:33:13,"1,970.1899","1,954.7300","1,928.1899 x 1100","1,928.3101 x 800","4,392,533"
17:9:2018  12:33:27,"1,970.19","1,954.73","1,928.02 x 1100","1,928.31 x 800","4,394,146"
17:9:2018  12:33:41,"1,970.19","1,954.73","1,928.02 x 1100","1,928.31 x 800","4,394,382"
17:9:2018  12:33:55,"1,970.19","1,954.73","1,928.02 x 1100","1,928.26 x 800","4,397,988"
17:9:2018  12:34:9,"1,970.19","1,954.73","1,927.93 x 1100","1,928.26 x 800","4,424,343"
17:9:2018  12:34:23,"1,970.190","1,954.730","1,927.930 x 1100","1,928.260 x 800","4,424,890"
17:9:2018  12:34:37,"1,970.1899","1,954.7300","1,927.9301 x 1100","1,928.2600 x 800","4,426,178"
17:9:2018  12:34:51,"1,970.190","1,954.730","1,930.300 x 1100","1,930.300 x 800","4,427,165"
17:9:2018  12:35:5,"1,970.19","1,954.73","1,930.30 x 1100","1,930.30 x 800","4,429,327"
17:9:2018  12:35:19,"1,970.19","1,954.73","1,930.30 x 1100","1,930.30 x 800","4,433,096"
17:9:2018  12:35:33,"1,970.19","1,954.73","1,930.30 x 1100","1,930.83 x 800","4,433,096"
17:9:2018  12:35:47,"1,970.19","1,954.73","1,930.09 x 1100","1,930.83 x 800","4,435,506"
17:9:2018  12:36:1,"1,970.19","1,954.73","1,930.09 x 1100","1,930.83 x 800","4,436,525"
17:9:2018  12:36:15,"1,970.19","1,954.73","1,930.09 x 1100","1,930.88 x 800","4,441,455"
17:9:2018  12:36:29,"1,970.190","1,954.730","1,930.310 x 1100","1,930.880 x 800","4,441,818"
17:9:2018  12:36:44,"1,970.19","1,954.73","1,930.31 x 1100","1,930.88 x 800","4,441,818"
17:9:2018  12:36:58,"1,970.190","1,954.730","1,930.310 x 1100","1,930.880 x 800","4,441,818"
17:9:2018  12:37:12,"1,970.1899","1,954.7300","1,929.8199 x 1100","1,930.7700 x 800","4,444,524"
17:9:2018  12:37:26,"1,970.1899","1,954.7300","1,929.8199 x 1100","1,930.7700 x 800","4,445,993"
17:9:2018  12:37:40,"1,970.19","1,954.73","1,929.82 x 1100","1,930.77 x 800","4,448,339"
17:9:2018  12:37:54,"1,970.190","1,954.730","1,929.900 x 1100","1,930.190 x 800","4,449,492"
17:9:2018  12:38:8,"1,970.19","1,954.73","1,929.90 x 1100","1,930.19 x 800","4,450,010"
17:9:2018  12:38:22,"1,970.19","1,954.73","1,929.90 x 1100","1,930.19 x 800","4,450,610"
17:9:2018  12:38:37,"1,970.19","1,954.73","1,929.90 x 1100","1,930.19 x 800","4,451,735"
17:9:2018  12:38:51,"1,970.19","1,954.73","1,929.90 x 1100","1,930.19 x 800","4,453,631"
17:9:2018  12:39:5,"1,970.19","1,954.73","1,930.00 x 1100","1,930.63 x 800","4,454,807"
17:9:2018  12:39:20,"1,970.19","1,954.73","1,930.00 x 1100","1,928.91 x 800","4,456,888"
17:9:2018  12:39:34,"1,970.19","1,954.73","1,929.30 x 1100","1,928.91 x 800","4,456,888"
17:9:2018  12:39:48,"1,970.19","1,954.73","1,929.30 x 1100","1,928.91 x 800","4,456,888"
17:9:2018  12:40:2,"1,970.19","1,954.73","1,929.30 x 1100","1,928.91 x 800","4,462,798"
17:9:2018  12:40:16,"1,970.190","1,954.730","1,929.300 x 1100","1,930.000 x 800","4,462,798"
17:9:2018  12:40:30,"1,970.19","1,954.73","1,929.55 x 1100","1,930.00 x 800","4,465,907"
17:9:2018  12:40:45,"1,970.1899","1,954.7300","1,929.5500 x 1100","1,930.0000 x 800","4,465,907"
17:9:2018  12:40:59,"1,970.19","1,954.73","1,929.55 x 1100","1,930.00 x 800","4,466,839"
17:9:2018  12:41:13,"1,970.1899","1,954.7300","1,929.5500 x 1100","1,930.0000 x 800","4,467,634"
17:9:2018  12:41:28,"1,970.19","1,954.73","1,930.43 x 1100","1,930.83 x 800","4,467,634"
17:9:2018  12:41:42,"1,970.19","1,954.73","1,930.43 x 1100","1,930.83 x 800","4,467,634"
17:9:2018  12:41:56,"1,970.19","1,954.73","1,930.42 x 1100","1,930.94 x 800","4,470,802"
17:9:2018  12:42:10,"1,970.19","1,954.73","1,930.42 x 1100","1,930.94 x 800","4,472,989"
17:9:2018  12:42:24,"1,970.1899","1,954.7300","1,930.4200 x 1100","1,930.9399 x 800","4,474,451"
17:9:2018  12:42:38,"1,970.1899","1,954.7300","1,930.4200 x 1100","1,930.9399 x 800","4,474,451"
17:9:2018  12:42:52,"1,970.19","1,954.73","1,931.62 x 1100","1,932.43 x 800","4,478,727"
17:9:2018  12:43:7,"1,970.19","1,954.73","1,931.62 x 1100","1,932.43 x 800","4,479,526"
17:9:2018  12:43:21,"1,970.19","1,954.73","1,931.76 x 1100","1,932.14 x 800","4,479,526"
17:9:2018  12:43:35,"1,970.19","1,954.73","1,931.76 x 1100","1,932.14 x 800","4,481,154"
17:9:2018  12:43:49,"1,970.19","1,954.73","1,931.76 x 1100","1,932.14 x 800","4,481,154"
17:9:2018  12:44:3,"1,970.19","1,954.73","1,931.76 x 1100","1,932.14 x 800","4,481,154"
17:9:2018  12:44:17,"1,970.1899","1,954.7300","1,931.4399 x 1100","1,932.0100 x 800","4,481,154"
17:9:2018  12:44:31,"1,970.19","1,954.73","1,931.44 x 1100","1,932.01 x 800","4,483,481"
17:9:2018  12:44:45,"1,970.1899","1,954.7300","1,931.4399 x 1100","1,932.0100 x 800","4,483,481"
17:9:2018  12:44:59,"1,970.190","1,954.730","1,929.540 x 1100","1,930.440 x 800","4,484,377"
17:9:2018  12:45:13,"1,970.19","1,954.73","1,929.54 x 1100","1,930.44 x 800","4,485,112"
17:9:2018  12:45:27,"1,970.1899","1,954.7300","1,929.5400 x 1100","1,930.4399 x 800","4,485,112"
17:9:2018  12:45:41,"1,970.19","1,954.73","1,931.00 x 1100","1,931.21 x 800","4,486,349"
17:9:2018  12:45:55,"1,970.19","1,954.73","1,931.00 x 1100","1,931.21 x 800","4,489,296"
17:9:2018  12:46:8,"1,970.190","1,954.730","1,931.000 x 1100","1,931.210 x 800","4,489,785"
17:9:2018  12:46:22,"1,970.19","1,954.73","1,931.00 x 1100","1,929.98 x 800","4,490,131"
17:9:2018  12:46:36,"1,970.19","1,954.73","1,929.76 x 1100","1,929.98 x 800","4,492,174"
17:9:2018  12:46:50,"1,970.19","1,954.73","1,929.76 x 1100","1,929.98 x 800","4,493,610"
17:9:2018  12:47:5,"1,970.19","1,954.73","1,929.76 x 1100","1,929.98 x 800","4,494,325"
17:9:2018  12:47:19,"1,970.190","1,954.730","1,928.390 x 1100","1,928.480 x 800","4,495,065"
17:9:2018  12:47:33,"1,970.19","1,954.73","1,928.39 x 1100","1,928.48 x 800","4,496,173"
17:9:2018  12:47:47,"1,970.19","1,954.73","1,928.39 x 1100","1,928.48 x 800","4,496,173"
17:9:2018  12:48:1,"1,970.1899","1,954.7300","1,927.1300 x 1100","1,928.4800 x 800","4,499,119"
17:9:2018  12:48:15,"1,970.19","1,954.73","1,927.13 x 1100","1,927.87 x 800","4,499,574"
17:9:2018  12:48:29,"1,970.1899","1,954.7300","1,927.1300 x 1100","1,927.8700 x 800","4,499,920"
17:9:2018  12:48:43,"1,970.19","1,954.73","1,927.13 x 1100","1,927.87 x 800","4,501,346"
17:9:2018  12:48:57,"1,970.19","1,954.73","1,927.36 x 1100","1,927.48 x 800","4,502,756"
17:9:2018  12:49:11,"1,970.19","1,954.73","1,927.36 x 1100","1,927.48 x 800","4,504,197"
17:9:2018  12:49:25,"1,970.190","1,954.730","1,927.360 x 1100","1,927.480 x 800","4,504,197"
17:9:2018  12:49:39,"1,970.1899","1,954.7300","1,927.3600 x 1100","1,927.4800 x 800","4,506,872"
17:9:2018  12:49:53,"1,970.1899","1,954.7300","1,926.5699 x 1100","1,927.0000 x 800","4,507,454"
17:9:2018  12:50:7,"1,970.19","1,954.73","1,926.57 x 1100","1,927.00 x 800","4,508,578"
17:9:2018  12:50:21,"1,970.19","1,954.73","1,925.92 x 1100","1,927.00 x 800","4,510,305"
17:9:2018  12:50:35,"1,970.1899","1,954.7300","1,925.9200 x 1100","1,926.6100 x 800","4,510,612"
17:9:2018  12:50:49,"1,970.1899","1,954.7300","1,925.9200 x 1100","1,926.6100 x 800","4,511,515"
17:9:2018  12:51:3,"1,970.19","1,954.73","1,925.92 x 1100","1,926.61 x 800","4,512,480"
17:9:2018  12:51:18,"1,970.190","1,954.730","1,927.580 x 1100","1,928.450 x 800","4,513,851"
17:9:2018  12:51:33,"1,970.19","1,954.73","1,927.58 x 1100","1,928.45 x 800","4,515,307"
17:9:2018  12:51:49,"1,970.1899","1,954.7300","1,927.5800 x 1100","1,928.4500 x 800","4,517,009"
17:9:2018  12:52:5,"1,970.19","1,954.73","1,927.58 x 1100","1,928.45 x 800","4,517,846"
17:9:2018  12:52:21,"1,970.1899","1,954.7300","1,928.10 x 1100","1,928.32 x 800","4,521,785"
17:9:2018  12:52:37,"1,970.19","1,954.73","1,928.10 x 1100","1,928.32 x 800","4,523,253"
17:9:2018  12:52:52,"1,970.190","1,954.730","1,928.100 x 1100","1,928.320 x 800","4,523,464"
17:9:2018  12:53:8,"1,970.19","1,954.73","1,927.38 x 1100","1,927.86 x 800","4,524,529"
17:9:2018  12:53:24,"1,970.19","1,954.73","1,927.38 x 1100","1,927.86 x 800","4,524,529"
17:9:2018  12:53:39,"1,970.19","1,954.73","1,927.99 x 1100","1,928.36 x 800","4,527,074"
17:9:2018  12:53:55,"1,970.1899","1,954.7300","1,927.9900 x 1100","1,928.3600 x 800","4,528,653"
17:9:2018  12:54:10,"1,970.19","1,954.73","1,927.99 x 1100","1,928.36 x 800","4,532,687"
17:9:2018  12:54:26,"1,970.19","1,954.73","1,927.99 x 1100","1,928.36 x 800","4,537,285"
17:9:2018  12:54:42,"1,970.19","1,954.73","1,927.99 x 1100","1,928.36 x 800","4,538,511"
17:9:2018  12:54:57,"1,970.19","1,954.73","1,927.09 x 1100","1,927.74 x 800","4,541,855"
17:9:2018  12:55:13,"1,970.19","1,954.73","1,927.09 x 1100","1,927.74 x 800","4,545,677"
17:9:2018  12:55:28,"1,970.1899","1,954.7300","1,928.1300 x 1100","1,927.7400 x 800","4,554,421"
17:9:2018  12:55:44,"1,970.19","1,954.73","1,928.13 x 1100","1,927.74 x 800","4,559,597"
17:9:2018  12:56:0,"1,970.19","1,954.73","1,927.46 x 1100","1,928.78 x 800","4,564,842"
17:9:2018  12:56:15,"1,970.19","1,954.73","1,927.46 x 1100","1,928.78 x 800","4,569,619"
17:9:2018  12:56:31,"1,970.19","1,954.73","1,927.46 x 1100","1,928.73 x 800","4,571,191"
17:9:2018  12:56:47,"1,970.190","1,954.730","1,927.460 x 1100","1,928.730 x 800","4,573,560"
17:9:2018  12:57:2,"1,970.1899","1,954.7300","1,928.0100 x 1100","1,928.7300 x 800","4,577,590"
17:9:2018  12:57:17,"1,970.190","1,954.730","1,928.010 x 1100","1,929.490 x 800","4,580,666"
17:9:2018  12:57:33,"1,970.19","1,954.73","1,928.01 x 1100","1,929.49 x 800","4,582,211"
17:9:2018  12:57:48,"1,970.190","1,954.730","1,929.170 x 1100","1,929.490 x 800","4,584,946"
17:9:2018  12:58:3,"1,970.190","1,954.730","1,929.170 x 1100","1,930.000 x 800","4,584,946"
17:9:2018  12:58:19,"1,970.1899","1,954.7300","1,929.1700 x 1100","1,930.0000 x 800","4,587,344"
17:9:2018  12:58:34,"1,970.19","1,954.73","1,929.36 x 1100","1,930.00 x 800","4,587,909"
17:9:2018  12:58:49,"1,970.19","1,954.73","1,929.36 x 1100","1,930.00 x 800","4,591,016"
17:9:2018  12:59:4,"1,970.19","1,954.73","1,929.36 x 1100","1,929.48 x 800","4,594,012"
17:9:2018  12:59:19,"1,970.19","1,954.73","1,928.20 x 1100","1,929.48 x 800","4,594,853"
17:9:2018  12:59:35,"1,970.1899","1,954.7300","1,928.2000 x 1100","1,929.4800 x 800","4,594,853"
17:9:2018  12:59:51,"1,970.1899","1,954.7300","1,928.2000 x 1100","1,929.4800 x 800","4,599,074"
17:9:2018  13:0:6,"1,970.19","1,954.73","1,928.67 x 1100","1,928.96 x 800","4,601,854"
17:9:2018  13:0:22,"1,970.1899","1,954.7300","1,928.6700 x 1100","1,928.9600 x 800","4,609,193"
17:9:2018  13:0:37,"1,970.19","1,954.73","1,928.6700 x 1100","1,929.1100 x 800","4,610,623"
17:9:2018  13:0:52,"1,970.19","1,954.73","1,928.9800 x 1100","1,929.1100 x 800","4,614,451"
17:9:2018  13:1:8,"1,970.19","1,954.73","1,928.98 x 1100","1,929.11 x 800","4,616,653"
17:9:2018  13:1:24,"1,970.1899","1,954.7300","1,928.98 x 1100","1,930.17 x 800","4,617,636"
17:9:2018  13:1:39,"1,970.1899","1,954.7300","1,929.2800 x 1100","1,930.1700 x 800","4,618,516"
17:9:2018  13:1:55,"1,970.190","1,954.730","1,929.280 x 1100","1,930.460 x 800","4,622,096"
17:9:2018  13:2:10,"1,970.19","1,954.73","1,929.28 x 1100","1,930.46 x 800","4,625,897"
17:9:2018  13:2:26,"1,970.1899","1,954.7300","1,930.0200 x 1100","1,930.4600 x 800","4,627,151"
17:9:2018  13:2:42,"1,970.1899","1,954.7300","1,930.0200 x 1100","1,929.9800 x 800","4,629,594"
17:9:2018  13:2:57,"1,970.190","1,954.730","1,930.020 x 1100","1,929.980 x 800","4,629,594"
17:9:2018  13:3:13,"1,970.19","1,954.73","1,930.02 x 1100","1,929.98 x 800","4,634,163"
17:9:2018  13:3:29,"1,970.190","1,954.730","1,928.780 x 1100","1,928.880 x 800","4,634,163"
17:9:2018  13:3:44,"1,970.190","1,954.730","1,928.780 x 1100","1,928.880 x 800","4,639,582"
17:9:2018  13:4:0,"1,970.1899","1,954.7300","1,928.8400 x 1100","1,928.8800 x 800","4,640,167"
17:9:2018  13:4:16,"1,970.1899","1,954.7300","1,928.8400 x 1100","1,929.9200 x 800","4,641,860"
17:9:2018  13:4:32,"1,970.19","1,954.73","1,928.84 x 1100","1,929.92 x 800","4,643,425"
17:9:2018  13:4:47,"1,970.1899","1,954.7300","1,928.5100 x 1100","1,929.9200 x 800","4,646,531"
17:9:2018  13:5:2,"1,970.1899","1,954.7300","1,928.5100 x 1100","1,929.7500 x 800","4,651,476"
17:9:2018  13:5:17,"1,970.190","1,954.730","1,928.510 x 1100","1,929.750 x 800","4,653,009"
17:9:2018  13:5:33,"1,970.19","1,954.73","1,929.68 x 1100","1,929.75 x 800","4,653,009"
17:9:2018  13:5:48,"1,970.19","1,954.73","1,929.68 x 1100","1,929.75 x 800","4,654,913"
17:9:2018  13:6:4,"1,970.19","1,954.73","1,929.6801 x 1100","1,930.5900 x 800","4,657,972"
17:9:2018  13:6:20,"1,970.19","1,954.73","1,929.98 x 1100","1,930.59 x 800","4,662,209"
17:9:2018  13:6:35,"1,970.1899","1,954.7300","1,929.9800 x 1100","1,930.5900 x 800","4,665,551"
17:9:2018  13:6:50,"1,970.19","1,954.73","1,929.98 x 1100","1,929.98 x 800","4,667,436"
17:9:2018  13:7:6,"1,970.1899","1,954.7300","1,929.9800 x 1100","1,929.9800 x 800","4,667,436"
17:9:2018  13:7:21,"1,970.19","1,954.73","1,929.47 x 1100","1,929.42 x 800","4,670,589"
17:9:2018  13:7:36,"1,970.1899","1,954.7300","1,929.4700 x 1100","1,929.4200 x 800","4,670,903"
17:9:2018  13:7:51,"1,970.19","1,954.73","1,929.68 x 1100","1,929.42 x 800","4,674,650"
17:9:2018  13:8:7,"1,970.1899","1,954.7300","1,929.6801 x 1100","1,929.7500 x 800","4,675,328"
17:9:2018  13:8:23,"1,970.19","1,954.73","1,929.68 x 1100","1,929.75 x 800","4,677,697"
17:9:2018  13:8:39,"1,970.19","1,954.73","1,928.75 x 1100","1,929.75 x 800","4,679,942"
17:9:2018  13:8:54,"1,970.19","1,954.73","1,928.75 x 1100","1,929.75 x 800","4,680,901"
17:9:2018  13:9:10,"1,970.1899","1,954.7300","1,928.7500 x 1100","1,928.9100 x 800","4,680,901"
17:9:2018  13:9:25,"1,970.19","1,954.73","1,927.40 x 1100","1,928.91 x 800","4,682,136"
17:9:2018  13:9:40,"1,970.1899","1,954.7300","1,927.4000 x 1100","1,928.9100 x 800","4,683,317"
17:9:2018  13:9:55,"1,970.190","1,954.730","1,927.400 x 1100","1,927.440 x 800","4,686,195"
17:9:2018  13:10:11,"1,970.19","1,954.73","1,925.31 x 1100","1,927.44 x 800","4,687,581"
17:9:2018  13:10:27,"1,970.19","1,954.73","1,925.31 x 1100","1,925.48 x 800","4,687,799"
17:9:2018  13:10:43,"1,970.19","1,954.73","1,925.31 x 1100","1,925.48 x 800","4,687,799"
17:9:2018  13:10:58,"1,970.190","1,954.730","1,924.400 x 1100","1,925.480 x 800","4,690,915"
17:9:2018  13:11:14,"1,970.19","1,954.73","1,924.40 x 1100","1,923.50 x 800","4,692,655"
17:9:2018  13:11:30,"1,970.190","1,954.730","1,924.400 x 1100","1,923.500 x 800","4,695,273"
