     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:31,162.320,161.920,160.610 x 1400,160.630 x 800,"12,351,985"
17:9:2018  12:30:46,162.32,161.92,160.61 x 1400,160.63 x 800,"12,357,515"
17:9:2018  12:31:0,162.32,161.92,160.61 x 1400,160.63 x 800,"12,360,198"
17:9:2018  12:31:15,162.320,161.920,160.660 x 1400,160.690 x 800,"12,361,398"
17:9:2018  12:31:29,162.3200,161.9200,160.6600 x 1400,160.6900 x 800,"12,385,226"
17:9:2018  12:31:44,162.3200,161.9200,160.6600 x 1400,160.6900 x 800,"12,387,937"
17:9:2018  12:31:58,162.320,161.920,160.660 x 1400,160.690 x 800,"12,392,593"
17:9:2018  12:32:12,162.3200,161.9200,160.6600 x 1400,160.6700 x 800,"12,396,268"
17:9:2018  12:32:26,162.3200,161.9200,160.66 x 1400,160.67 x 800,"12,398,291"
17:9:2018  12:32:41,162.32,161.92,160.66 x 1400,160.67 x 800,"12,401,975"
17:9:2018  12:32:55,162.32,161.92,160.69 x 1400,160.70 x 800,"12,405,297"
17:9:2018  12:33:9,162.32,161.92,160.69 x 1400,160.70 x 800,"12,409,626"
17:9:2018  12:33:23,162.3200,161.9200,160.69 x 1400,160.70 x 800,"12,413,719"
17:9:2018  12:33:37,162.32,161.92,160.66 x 1400,160.66 x 800,"12,416,557"
17:9:2018  12:33:51,162.32,161.92,160.66 x 1400,160.66 x 800,"12,427,855"
17:9:2018  12:34:5,162.3200,161.9200,160.6600 x 1400,160.6600 x 800,"12,435,748"
17:9:2018  12:34:19,162.32,161.92,160.66 x 1400,160.68 x 800,"12,437,371"
17:9:2018  12:34:33,162.32,161.92,160.66 x 1400,160.68 x 800,"12,441,965"
17:9:2018  12:34:47,162.32,161.92,160.66 x 1400,160.68 x 800,"12,443,923"
17:9:2018  12:35:1,162.32,161.92,160.66 x 1400,160.68 x 800,"12,452,848"
17:9:2018  12:35:15,162.32,161.92,160.70 x 1400,160.73 x 800,"12,459,427"
17:9:2018  12:35:29,162.32,161.92,160.70 x 1400,160.73 x 800,"12,461,617"
17:9:2018  12:35:43,162.32,161.92,160.70 x 1400,160.73 x 800,"12,469,917"
17:9:2018  12:35:57,162.32,161.92,160.70 x 1400,160.71 x 800,"12,473,393"
17:9:2018  12:36:12,162.32,161.92,160.70 x 1400,160.71 x 800,"12,478,970"
17:9:2018  12:36:26,162.32,161.92,160.70 x 1400,160.71 x 800,"12,481,509"
17:9:2018  12:36:40,162.32,161.92,160.70 x 1400,160.71 x 800,"12,482,962"
17:9:2018  12:36:54,162.32,161.92,160.66 x 1400,160.67 x 1000,"12,488,414"
