time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:33,1172.53,1170.14,"1,160.41 x 900","1,161.10 x 1800",516785
17:9:2018  12:30:47,1172.53,1170.14,"1,160.49 x 900","1,161.13 x 1800",516785
17:9:2018  12:31:1,1172.53,1170.14,"1,160.49 x 900","1,161.13 x 1800",516785
17:9:2018  12:31:16,1172.53,1170.14,"1,160.49 x 900","1,161.13 x 1800",516785
17:9:2018  12:31:31,1172.53,1170.14,"1,161.06 x 900","1,161.38 x 1800",517371
17:9:2018  12:31:45,1172.53,1170.14,"1,161.06 x 900","1,161.38 x 1800",517371
17:9:2018  12:31:59,1172.53,1170.14,"1,161.06 x 900","1,161.38 x 1800",517705
17:9:2018  12:32:13,1172.53,1170.14,"1,161.06 x 900","1,161.38 x 1800",517705
17:9:2018  12:32:28,1172.53,1170.14,"1,161.21 x 900","1,161.68 x 1800",517705
17:9:2018  12:32:42,1172.53,1170.14,"1,161.21 x 900","1,161.68 x 1800",518797
17:9:2018  12:32:56,1172.53,1170.14,"1,161.21 x 900","1,161.68 x 1800",519271
17:9:2018  12:33:10,1172.53,1170.14,"1,161.21 x 900","1,161.68 x 1800",519271
17:9:2018  12:33:25,1172.53,1170.14,"1,161.21 x 900","1,161.68 x 1800",519271
17:9:2018  12:33:39,1172.53,1170.14,"1,161.4399 x 900","1,162.1200 x 1800",519271
17:9:2018  12:33:53,1172.53,1170.14,"1,161.52 x 900","1,162.17 x 1800",519271
17:9:2018  12:34:6,1172.53,1170.14,"1,161.52 x 900","1,162.17 x 1800",520083
17:9:2018  12:34:21,1172.53,1170.14,"1,161.52 x 900","1,162.17 x 1800",521143
17:9:2018  12:34:35,1172.53,1170.14,"1,161.52 x 900","1,162.17 x 1800",521143
17:9:2018  12:34:49,1172.53,1170.14,"1,161.46 x 900","1,162.38 x 1800",521143
17:9:2018  12:35:3,1172.53,1170.14,"1,162.07 x 900","1,162.38 x 1800",523188
17:9:2018  12:35:17,1172.53,1170.14,"1,162.07 x 900","1,162.38 x 1800",523188
17:9:2018  12:35:31,1172.53,1170.14,"1,162.07 x 900","1,162.38 x 1800",523839
17:9:2018  12:35:45,1172.53,1170.14,"1,162.07 x 900","1,162.38 x 1800",524187
17:9:2018  12:35:59,1172.53,1170.14,"1,162.23 x 900","1,162.49 x 1800",524187
17:9:2018  12:36:13,1172.53,1170.14,"1,162.23 x 900","1,162.49 x 1800",526805
17:9:2018  12:36:27,1172.53,1170.14,"1,162.23 x 900","1,162.49 x 1800",526805
17:9:2018  12:36:42,1172.53,1170.14,"1,162.23 x 900","1,162.49 x 1800",526805
17:9:2018  12:36:56,1172.53,1170.14,"1,162.19 x 900","1,162.84 x 1800",526805
17:9:2018  12:37:10,1172.53,1170.14,"1,162.19 x 900","1,162.84 x 1800",528544
17:9:2018  12:37:24,1172.53,1170.14,"1,162.19 x 900","1,162.84 x 1800",528974
17:9:2018  12:37:38,1172.53,1170.14,"1,161.94 x 900","1,162.84 x 1800",529644
17:9:2018  12:37:52,1172.53,1170.14,"1,161.94 x 900","1,162.84 x 1800",529644
17:9:2018  12:38:6,1172.53,1170.14,"1,161.94 x 900","1,162.84 x 1800",529644
17:9:2018  12:38:20,1172.53,1170.14,"1,161.94 x 900","1,162.52 x 1800",533752
17:9:2018  12:38:35,1172.53,1170.14,"1,161.94 x 900","1,162.52 x 1800",533752
17:9:2018  12:38:49,1172.53,1170.14,"1,161.94 x 900","1,162.52 x 1800",534433
17:9:2018  12:39:3,1172.53,1170.14,"1,162.32 x 900","1,162.89 x 1800",534433
17:9:2018  12:39:17,1172.53,1170.14,"1,162.32 x 900","1,162.89 x 1800",534433
17:9:2018  12:39:31,1172.53,1170.14,"1,162.40 x 900","1,162.91 x 1800",534671
17:9:2018  12:39:45,1172.53,1170.14,"1,162.40 x 900","1,162.91 x 1800",534671
17:9:2018  12:40:0,1172.53,1170.14,"1,162.40 x 900","1,162.91 x 1800",535296
17:9:2018  12:40:14,1172.53,1170.14,"1,162.69 x 900","1,163.03 x 1800",535296
17:9:2018  12:40:28,1172.53,1170.14,"1,162.69 x 900","1,163.03 x 1800",536024
17:9:2018  12:40:42,1172.53,1170.14,"1,162.69 x 900","1,163.03 x 1800",536024
17:9:2018  12:40:57,1172.53,1170.14,"1,162.69 x 900","1,163.03 x 1800",536024
17:9:2018  12:41:11,1172.53,1170.14,"1,162.69 x 900","1,163.03 x 1800",536124
17:9:2018  12:41:25,1172.53,1170.14,"1,162.5500 x 900","1,163.5200 x 1800",536124
