     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:34,28.56,27.69,27.42 x 800,27.39 x 900,"4,979,906"
17:9:2018  12:30:48,28.56,27.69,27.39 x 800,27.39 x 900,"4,980,066"
17:9:2018  12:31:3,28.56,27.69,27.39 x 800,27.39 x 900,"4,980,066"
17:9:2018  12:31:17,28.56,27.69,27.39 x 800,27.39 x 900,"4,980,366"
17:9:2018  12:31:32,28.56,27.69,27.39 x 800,27.39 x 900,"4,981,790"
17:9:2018  12:31:46,28.5600,27.6900,27.3900 x 800,27.3900 x 900,"4,983,238"
17:9:2018  12:32:0,28.56,27.69,27.44 x 800,27.39 x 800,"4,983,238"
17:9:2018  12:32:15,28.560,27.690,27.440 x 800,27.460 x 800,"4,992,845"
17:9:2018  12:32:29,28.56,27.69,27.44 x 800,27.46 x 800,"4,994,245"
17:9:2018  12:32:43,28.56,27.69,27.44 x 800,27.46 x 800,"4,995,538"
17:9:2018  12:32:57,28.56,27.69,27.4400 x 800,27.4600 x 800,"4,995,538"
17:9:2018  12:33:11,28.5600,27.6900,27.4900 x 800,27.4900 x 800,"4,995,538"
17:9:2018  12:33:26,28.56,27.69,27.49 x 800,27.49 x 800,"4,996,395"
17:9:2018  12:33:40,28.56,27.69,27.49 x 800,27.49 x 800,"5,005,773"
17:9:2018  12:33:54,28.56,27.69,27.49 x 800,27.49 x 800,"5,005,873"
17:9:2018  12:34:8,28.56,27.69,27.47 x 800,27.49 x 800,"5,013,173"
17:9:2018  12:34:22,28.56,27.69,27.4700 x 800,27.4900 x 800,"5,017,638"
17:9:2018  12:34:36,28.56,27.69,27.48 x 800,27.51 x 800,"5,020,160"
17:9:2018  12:34:50,28.56,27.69,27.48 x 800,27.51 x 800,"5,022,572"
17:9:2018  12:35:4,28.56,27.69,27.48 x 800,27.51 x 800,"5,024,372"
17:9:2018  12:35:18,28.56,27.69,27.48 x 800,27.51 x 800,"5,024,372"
17:9:2018  12:35:32,28.5600,27.6900,27.4800 x 800,27.5100 x 800,"5,024,372"
17:9:2018  12:35:46,28.56,27.69,27.48 x 800,27.51 x 800,"5,033,040"
17:9:2018  12:36:0,28.56,27.69,27.52 x 800,27.51 x 800,"5,036,724"
17:9:2018  12:36:14,28.56,27.69,27.52 x 800,27.54 x 800,"5,040,734"
17:9:2018  12:36:28,28.56,27.69,27.52 x 800,27.54 x 800,"5,040,734"
17:9:2018  12:36:43,28.56,27.69,27.52 x 800,27.54 x 800,"5,044,016"
17:9:2018  12:36:57,28.56,27.69,27.50 x 800,27.54 x 800,"5,044,558"
17:9:2018  12:37:11,28.56,27.69,27.50 x 800,27.54 x 800,"5,044,688"
17:9:2018  12:37:25,28.56,27.69,27.51 x 1300,27.53 x 800,"5,050,139"
17:9:2018  12:37:39,28.56,27.69,27.51 x 1300,27.53 x 800,"5,070,413"
17:9:2018  12:37:53,28.56,27.69,27.51 x 1300,27.53 x 800,"5,070,413"
17:9:2018  12:38:7,28.560,27.690,27.510 x 1300,27.530 x 800,"5,071,713"
17:9:2018  12:38:21,28.56,27.69,27.52 x 1300,27.53 x 800,"5,073,966"
17:9:2018  12:38:36,28.5600,27.6900,27.5200 x 1300,27.5200 x 800,"5,075,576"
17:9:2018  12:38:50,28.56,27.69,27.52 x 1300,27.52 x 800,"5,079,659"
17:9:2018  12:39:4,28.56,27.69,27.5200 x 1300,27.5200 x 800,"5,080,833"
17:9:2018  12:39:19,28.5600,27.6900,27.5200 x 1300,27.5200 x 800,"5,081,425"
17:9:2018  12:39:33,28.560,27.690,27.520 x 1300,27.520 x 800,"5,082,586"
17:9:2018  12:39:47,28.56,27.69,27.52 x 1000,27.52 x 800,"5,087,389"
17:9:2018  12:40:1,28.56,27.69,27.52 x 1000,27.52 x 800,"5,089,455"
17:9:2018  12:40:15,28.56,27.69,27.52 x 1000,27.52 x 800,"5,092,480"
17:9:2018  12:40:29,28.56,27.69,27.51 x 1000,27.52 x 800,"5,093,200"
17:9:2018  12:40:44,28.5600,27.6900,27.5100 x 1000,27.5200 x 800,"5,102,080"
17:9:2018  12:40:58,28.56,27.69,27.51 x 1000,27.52 x 800,"5,102,744"
17:9:2018  12:41:12,28.560,27.690,27.510 x 1000,27.520 x 800,"5,107,047"
17:9:2018  12:41:26,28.5600,27.6900,27.5100 x 1000,27.5200 x 800,"5,108,327"
17:9:2018  12:41:40,28.56,27.69,27.51 x 1000,27.52 x 800,"5,111,553"
17:9:2018  12:41:54,28.56,27.69,27.49 x 800,27.52 x 800,"5,112,953"
17:9:2018  12:42:8,28.56,27.69,27.49 x 800,27.52 x 800,"5,113,258"
17:9:2018  12:42:22,28.560,27.690,27.490 x 800,27.520 x 800,"5,113,558"
17:9:2018  12:42:37,28.56,27.69,27.49 x 800,27.52 x 800,"5,115,634"
17:9:2018  12:42:51,28.56,27.69,27.49 x 900,27.52 x 800,"5,115,634"
17:9:2018  12:43:5,28.5600,27.6900,27.4900 x 800,27.5200 x 800,"5,118,085"
17:9:2018  12:43:20,28.56,27.69,27.49 x 800,27.52 x 800,"5,121,811"
17:9:2018  12:43:34,28.56,27.69,27.49 x 800,27.52 x 800,"5,122,808"
17:9:2018  12:43:48,28.5600,27.6900,27.4900 x 800,27.5200 x 800,"5,126,909"
17:9:2018  12:44:2,28.56,27.69,27.49 x 800,27.52 x 800,"5,129,853"
17:9:2018  12:44:15,28.56,27.69,27.49 x 800,27.52 x 800,"5,131,115"
17:9:2018  12:44:29,28.56,27.69,27.51 x 800,27.51 x 800,"5,133,388"
17:9:2018  12:44:44,28.56,27.69,27.51 x 800,27.51 x 800,"5,133,613"
17:9:2018  12:44:58,28.5600,27.6900,27.5100 x 800,27.5100 x 800,"5,136,119"
17:9:2018  12:45:12,28.56,27.69,27.51 x 800,27.51 x 800,"5,141,204"
17:9:2018  12:45:26,28.56,27.69,27.49 x 800,27.51 x 800,"5,142,999"
17:9:2018  12:45:40,28.56,27.69,27.49 x 800,27.51 x 800,"5,144,267"
17:9:2018  12:45:54,28.56,27.69,27.49 x 800,27.51 x 800,"5,144,267"
17:9:2018  12:46:7,28.5600,27.6900,27.4900 x 800,27.5100 x 800,"5,144,267"
17:9:2018  12:46:21,28.5600,27.6900,27.4900 x 1000,27.5100 x 800,"5,145,895"
17:9:2018  12:46:35,28.56,27.69,27.49 x 800,27.51 x 800,"5,150,281"
17:9:2018  12:46:49,28.56,27.69,27.49 x 800,27.51 x 800,"5,152,732"
17:9:2018  12:47:3,28.56,27.69,27.49 x 800,27.51 x 800,"5,152,732"
17:9:2018  12:47:18,28.56,27.69,27.49 x 800,27.51 x 800,"5,152,732"
17:9:2018  12:47:32,28.56,27.69,27.47 x 800,27.48 x 1200,"5,152,732"
17:9:2018  12:47:46,28.56,27.69,27.47 x 800,27.48 x 1200,"5,156,810"
17:9:2018  12:48:0,28.5600,27.6900,27.4700 x 800,27.4800 x 1200,"5,158,544"
17:9:2018  12:48:14,28.56,27.69,27.47 x 1300,27.48 x 1200,"5,159,844"
17:9:2018  12:48:28,28.56,27.69,27.47 x 1300,27.48 x 1200,"5,165,074"
17:9:2018  12:48:42,28.56,27.69,27.4600 x 900,27.4700 x 1100,"5,165,074"
17:9:2018  12:48:56,28.56,27.69,27.4600 x 900,27.4700 x 1100,"5,168,068"
17:9:2018  12:49:10,28.56,27.69,27.46 x 900,27.47 x 1100,"5,169,259"
17:9:2018  12:49:24,28.5600,27.6900,27.4600 x 900,27.4700 x 1100,"5,169,859"
17:9:2018  12:49:38,28.56,27.69,27.46 x 900,27.47 x 1100,"5,172,160"
17:9:2018  12:49:52,28.56,27.69,27.40 x 1800,27.41 x 800,"5,177,285"
17:9:2018  12:50:6,28.5600,27.6900,27.4000 x 1800,27.4100 x 800,"5,193,391"
17:9:2018  12:50:20,28.56,27.69,27.40 x 1800,27.41 x 800,"5,198,735"
17:9:2018  12:50:34,28.560,27.690,27.400 x 1800,27.410 x 800,"5,202,472"
17:9:2018  12:50:48,28.56,27.69,27.40 x 2200,27.43 x 800,"5,202,472"
17:9:2018  12:51:1,28.56,27.69,27.40 x 2200,27.43 x 800,"5,207,203"
17:9:2018  12:51:16,28.56,27.69,27.40 x 2200,27.43 x 800,"5,219,865"
17:9:2018  12:51:32,28.56,27.69,27.40 x 2200,27.43 x 800,"5,219,865"
17:9:2018  12:51:48,28.5600,27.6900,27.40 x 2200,27.43 x 800,"5,223,364"
17:9:2018  12:52:4,28.56,27.69,27.40 x 2200,27.43 x 800,"5,224,449"
17:9:2018  12:52:20,28.56,27.69,27.40 x 2200,27.43 x 800,"5,227,494"
17:9:2018  12:52:35,28.56,27.69,27.41 x 2200,27.43 x 800,"5,227,812"
17:9:2018  12:52:51,28.560,27.690,27.410 x 2200,27.430 x 800,"5,228,237"
17:9:2018  12:53:6,28.56,27.69,27.41 x 2200,27.43 x 800,"5,230,497"
17:9:2018  12:53:22,28.56,27.69,27.38 x 2200,27.40 x 800,"5,233,472"
17:9:2018  12:53:38,28.56,27.69,27.38 x 2200,27.40 x 800,"5,233,472"
17:9:2018  12:53:53,28.5600,27.6900,27.3800 x 2200,27.4000 x 800,"5,238,739"
17:9:2018  12:54:9,28.56,27.69,27.38 x 2200,27.40 x 800,"5,238,940"
17:9:2018  12:54:24,28.56,27.69,27.38 x 800,27.40 x 800,"5,243,240"
17:9:2018  12:54:41,28.56,27.69,27.40 x 1100,27.42 x 800,"5,244,133"
17:9:2018  12:54:56,28.5600,27.6900,27.4000 x 1100,27.4200 x 800,"5,246,061"
17:9:2018  12:55:11,28.56,27.69,27.40 x 1100,27.42 x 800,"5,246,599"
17:9:2018  12:55:27,28.56,27.69,27.39 x 1100,27.40 x 800,"5,248,309"
17:9:2018  12:55:43,28.56,27.69,27.39 x 1100,27.40 x 800,"5,256,471"
17:9:2018  12:55:59,28.56,27.69,27.39 x 1100,27.40 x 800,"5,257,073"
17:9:2018  12:56:14,28.56,27.69,27.39 x 800,27.40 x 800,"5,257,893"
17:9:2018  12:56:30,28.56,27.69,27.39 x 1100,27.40 x 800,"5,258,713"
17:9:2018  12:56:45,28.56,27.69,27.39 x 900,27.40 x 800,"5,270,290"
17:9:2018  12:57:1,28.56,27.69,27.39 x 900,27.40 x 800,"5,272,333"
17:9:2018  12:57:16,28.56,27.69,27.39 x 900,27.40 x 800,"5,284,194"
17:9:2018  12:57:32,28.5600,27.6900,27.3900 x 900,27.4000 x 800,"5,285,706"
17:9:2018  12:57:47,28.56,27.69,27.39 x 900,27.40 x 800,"5,290,438"
17:9:2018  12:58:2,28.56,27.69,27.39 x 900,27.40 x 800,"5,290,438"
17:9:2018  12:58:17,28.5600,27.6900,27.38 x 900,27.39 x 800,"5,290,438"
17:9:2018  12:58:33,28.56,27.69,27.38 x 900,27.39 x 800,"5,290,887"
17:9:2018  12:58:48,28.56,27.69,27.38 x 900,27.39 x 800,"5,291,252"
17:9:2018  12:59:3,28.5600,27.6900,27.3800 x 900,27.3900 x 800,"5,292,572"
17:9:2018  12:59:18,28.56,27.69,27.37 x 900,27.38 x 800,"5,293,886"
17:9:2018  12:59:34,28.5600,27.6900,27.3700 x 900,27.3800 x 800,"5,295,392"
17:9:2018  12:59:49,28.5600,27.6900,27.3700 x 900,27.3800 x 800,"5,296,039"
17:9:2018  13:0:5,28.56,27.69,27.37 x 900,27.38 x 800,"5,298,444"
17:9:2018  13:0:21,28.56,27.69,27.38 x 2900,27.38 x 800,"5,307,570"
17:9:2018  13:0:36,28.56,27.69,27.38 x 2900,27.38 x 800,"5,308,775"
17:9:2018  13:0:51,28.5600,27.6900,27.3800 x 2900,27.3800 x 800,"5,308,775"
17:9:2018  13:1:7,28.56,27.69,27.38 x 2900,27.38 x 800,"5,314,738"
17:9:2018  13:1:22,28.56,27.69,27.43 x 800,27.45 x 1100,"5,314,738"
17:9:2018  13:1:38,28.56,27.69,27.43 x 800,27.45 x 1100,"5,326,768"
17:9:2018  13:1:54,28.5600,27.6900,27.4300 x 800,27.4500 x 1100,"5,326,768"
