     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:37,276.43,275.40,276.74 x 800,276.71 x 1000,"2,789,630"
17:9:2018  12:30:52,276.43,275.40,276.64 x 800,276.71 x 1000,"2,790,816"
17:9:2018  12:31:6,276.4300,275.4019,276.6400 x 800,276.7100 x 1000,"2,791,585"
17:9:2018  12:31:21,276.43,275.40,276.64 x 800,276.84 x 1000,"2,791,585"
17:9:2018  12:31:35,276.43,275.40,276.64 x 800,276.84 x 1000,"2,792,203"
17:9:2018  12:31:49,276.43,275.40,276.64 x 800,276.84 x 1000,"2,792,203"
17:9:2018  12:32:4,276.43,275.40,276.83 x 800,276.86 x 1000,"2,796,768"
17:9:2018  12:32:18,276.43,275.40,276.83 x 800,276.86 x 1000,"2,798,781"
17:9:2018  12:32:32,276.4300,275.4019,276.8300 x 800,276.8600 x 1000,"2,799,209"
17:9:2018  12:32:46,276.4300,275.4019,276.6300 x 800,276.8600 x 1000,"2,800,565"
17:9:2018  12:33:0,276.43,275.40,276.63 x 800,276.81 x 1000,"2,802,001"
17:9:2018  12:33:15,276.430,275.402,276.6300 x 800,276.8100 x 1000,"2,802,244"
17:9:2018  12:33:29,276.43,275.40,276.63 x 800,276.81 x 1000,"2,802,949"
17:9:2018  12:33:43,276.4300,275.4019,276.75 x 800,276.81 x 1000,"2,804,054"
17:9:2018  12:33:57,276.4300,275.4019,276.7900 x 800,276.8700 x 1000,"2,804,685"
17:9:2018  12:34:11,276.43,275.40,276.79 x 800,276.87 x 1000,"2,804,685"
17:9:2018  12:34:25,276.43,275.40,276.79 x 800,276.91 x 1000,"2,805,666"
17:9:2018  12:34:39,276.43,275.40,276.79 x 800,276.91 x 1000,"2,807,005"
17:9:2018  12:34:53,276.43,275.40,277.05 x 800,276.91 x 1000,"2,808,460"
17:9:2018  12:35:7,276.43,275.40,277.05 x 800,276.91 x 1000,"2,813,088"
17:9:2018  12:35:21,276.430,275.402,277.050 x 800,277.150 x 1000,"2,818,088"
17:9:2018  12:35:35,276.43,275.40,277.05 x 800,277.15 x 1000,"2,819,696"
17:9:2018  12:35:49,276.43,275.40,277.03 x 800,277.15 x 1000,"2,819,696"
17:9:2018  12:36:3,276.43,275.40,277.03 x 800,277.03 x 1000,"2,821,706"
17:9:2018  12:36:18,276.4300,275.4019,277.03 x 800,277.03 x 1000,"2,821,706"
17:9:2018  12:36:32,276.43,275.40,276.89 x 800,277.03 x 1000,"2,823,550"
17:9:2018  12:36:46,276.43,275.40,276.89 x 800,276.95 x 1000,"2,824,217"
17:9:2018  12:37:1,276.4300,275.4019,276.8900 x 800,276.9500 x 1000,"2,825,308"
17:9:2018  12:37:14,276.43,275.40,276.89 x 800,276.95 x 1000,"2,825,587"
17:9:2018  12:37:28,276.4300,275.4019,276.8900 x 800,276.9500 x 1000,"2,827,981"
17:9:2018  12:37:42,276.43,275.40,276.89 x 800,276.95 x 1000,"2,831,623"
17:9:2018  12:37:57,276.4300,275.4019,276.8100 x 800,276.9800 x 1000,"2,832,872"
17:9:2018  12:38:11,276.43,275.40,276.81 x 800,276.98 x 1000,"2,836,712"
17:9:2018  12:38:25,276.4300,275.4019,276.9000 x 800,277.0800 x 1000,"2,838,472"
17:9:2018  12:38:39,276.4300,275.4019,276.9000 x 800,277.0800 x 1000,"2,838,472"
17:9:2018  12:38:54,276.43,275.40,277.02 x 800,277.08 x 1000,"2,840,733"
17:9:2018  12:39:8,276.4300,275.4019,276.9000 x 800,277.0800 x 1000,"2,840,733"
17:9:2018  12:39:22,276.43,275.40,277.02 x 800,277.02 x 1000,"2,840,733"
17:9:2018  12:39:36,276.43,275.40,277.00 x 800,277.02 x 1000,"2,846,838"
17:9:2018  12:39:50,276.4300,275.4019,277.0000 x 800,277.0200 x 1000,"2,847,281"
17:9:2018  12:40:4,276.43,275.40,277.00 x 800,277.02 x 1000,"2,847,925"
17:9:2018  12:40:18,276.43,275.40,277.00 x 800,277.21 x 1000,"2,847,925"
17:9:2018  12:40:32,276.43,275.40,277.00 x 800,277.21 x 1000,"2,855,104"
17:9:2018  12:40:47,276.4300,275.4019,277.0000 x 800,277.2100 x 1000,"2,856,061"
17:9:2018  12:41:2,276.43,275.40,277.00 x 800,277.21 x 1000,"2,859,836"
17:9:2018  12:41:16,276.43,275.40,277.00 x 800,277.23 x 1000,"2,862,118"
17:9:2018  12:41:30,276.4300,275.4019,277.1200 x 800,277.2300 x 1000,"2,862,118"
17:9:2018  12:41:44,276.4300,275.4019,277.1200 x 800,277.2400 x 1000,"2,865,849"
17:9:2018  12:41:58,276.4300,275.4019,277.2000 x 800,277.2400 x 1000,"2,867,876"
17:9:2018  12:42:12,276.43,275.40,277.20 x 800,277.24 x 1000,"2,870,016"
17:9:2018  12:42:26,276.43,275.40,277.200 x 800,277.240 x 1000,"2,870,779"
17:9:2018  12:42:40,276.43,275.40,277.20 x 800,277.30 x 1000,"2,870,779"
17:9:2018  12:42:54,276.43,275.40,277.20 x 800,277.30 x 1000,"2,873,492"
17:9:2018  12:43:9,276.43,275.40,277.20 x 800,277.30 x 1000,"2,873,492"
17:9:2018  12:43:23,276.4300,275.4019,277.1400 x 800,277.3000 x 1000,"2,874,706"
17:9:2018  12:43:37,276.43,275.40,277.14 x 800,277.30 x 1000,"2,878,567"
17:9:2018  12:43:51,276.4300,275.4019,277.1700 x 800,277.2500 x 1000,"2,883,622"
17:9:2018  12:44:5,276.430,275.402,277.170 x 800,277.250 x 1000,"2,888,950"
17:9:2018  12:44:19,276.43,275.40,277.21 x 800,277.33 x 1000,"2,891,219"
17:9:2018  12:44:33,276.43,275.40,277.21 x 800,277.33 x 1000,"2,893,321"
17:9:2018  12:44:47,276.4300,275.4019,277.2100 x 800,277.3300 x 1000,"2,893,938"
17:9:2018  12:45:1,276.43,275.40,276.97 x 800,277.08 x 1000,"2,893,938"
17:9:2018  12:45:15,276.43,275.40,276.97 x 800,277.08 x 1000,"2,896,267"
17:9:2018  12:45:29,276.43,275.40,276.97 x 800,277.08 x 1000,"2,898,409"
17:9:2018  12:45:43,276.43,275.40,276.97 x 800,277.08 x 1000,"2,899,361"
17:9:2018  12:45:57,276.43,275.40,276.96 x 800,277.16 x 1000,"2,902,578"
17:9:2018  12:46:11,276.43,275.40,276.96 x 800,277.16 x 1000,"2,903,446"
17:9:2018  12:46:25,276.43,275.40,276.96 x 800,277.16 x 1000,"2,904,586"
17:9:2018  12:46:38,276.43,275.40,276.96 x 800,277.16 x 1000,"2,904,586"
17:9:2018  12:46:52,276.43,275.40,276.97 x 800,277.02 x 1000,"2,908,448"
17:9:2018  12:47:7,276.43,275.40,276.97 x 800,277.02 x 1000,"2,910,428"
17:9:2018  12:47:21,276.43,275.40,276.97 x 800,276.89 x 1000,"2,911,628"
17:9:2018  12:47:35,276.43,275.40,276.97 x 800,276.89 x 1000,"2,912,238"
17:9:2018  12:47:49,276.43,275.40,276.79 x 800,276.89 x 1000,"2,912,238"
17:9:2018  12:48:3,276.4300,275.4019,276.7900 x 800,276.8900 x 1000,"2,915,041"
17:9:2018  12:48:17,276.4300,275.4019,276.7900 x 800,276.8500 x 1000,"2,915,041"
17:9:2018  12:48:31,276.43,275.40,276.79 x 800,276.85 x 1000,"2,915,770"
17:9:2018  12:48:46,276.4300,275.4019,276.7900 x 800,276.8500 x 1000,"2,916,101"
17:9:2018  12:48:59,276.430,275.402,276.670 x 800,276.850 x 1000,"2,917,108"
17:9:2018  12:49:13,276.4300,275.4019,276.6700 x 800,276.8500 x 1000,"2,917,108"
17:9:2018  12:49:27,276.43,275.40,276.67 x 800,276.85 x 1000,"2,922,642"
17:9:2018  12:49:41,276.4300,275.4019,276.6900 x 800,276.8200 x 1000,"2,926,776"
17:9:2018  12:49:55,276.43,275.40,276.59 x 800,276.67 x 1000,"2,927,331"
17:9:2018  12:50:9,276.43,275.40,276.59 x 800,276.67 x 1000,"2,928,532"
17:9:2018  12:50:23,276.43,275.40,276.59 x 800,276.67 x 1000,"2,932,903"
17:9:2018  12:50:37,276.4300,275.4019,276.5900 x 800,276.6700 x 1000,"2,937,407"
17:9:2018  12:50:51,276.4300,275.4019,276.5900 x 800,276.6400 x 1000,"2,939,885"
17:9:2018  12:51:5,276.43,275.40,276.66 x 800,276.64 x 1000,"2,940,990"
17:9:2018  12:51:20,276.43,275.40,276.66 x 800,276.64 x 1000,"2,940,990"
17:9:2018  12:51:36,276.4300,275.4019,276.6600 x 800,276.8200 x 1000,"2,944,315"
17:9:2018  12:51:52,276.4300,275.4019,276.6600 x 800,276.8200 x 1000,"2,944,315"
17:9:2018  12:52:8,276.43,275.40,276.78 x 800,276.82 x 1000,"2,947,333"
17:9:2018  12:52:23,276.43,275.40,276.78 x 800,276.82 x 1000,"2,948,467"
17:9:2018  12:52:39,276.4300,275.4019,276.76 x 800,276.81 x 1000,"2,949,512"
17:9:2018  12:52:55,276.43,275.40,276.7600 x 800,276.8100 x 1000,"2,949,512"
17:9:2018  12:53:11,276.43,275.40,276.71 x 800,276.78 x 1000,"2,949,512"
17:9:2018  12:53:26,276.43,275.40,276.71 x 800,276.78 x 1000,"2,949,512"
17:9:2018  12:53:42,276.43,275.40,276.71 x 800,276.78 x 1000,"2,949,512"
17:9:2018  12:53:57,276.430,275.402,276.71 x 800,276.79 x 1000,"2,950,078"
17:9:2018  12:54:13,276.4300,275.4019,276.6100 x 800,276.7900 x 1000,"2,952,824"
17:9:2018  12:54:28,276.4300,275.4019,276.6100 x 800,276.7300 x 1000,"2,957,411"
17:9:2018  12:54:44,276.43,275.40,276.63 x 800,276.73 x 1000,"2,957,517"
17:9:2018  12:55:0,276.430,275.402,276.610 x 800,276.730 x 1000,"2,957,517"
17:9:2018  12:55:16,276.43,275.40,276.63 x 800,276.73 x 1000,"2,963,211"
17:9:2018  12:55:31,276.4300,275.4019,276.5200 x 800,276.7200 x 1000,"2,963,711"
17:9:2018  12:55:47,276.43,275.40,276.5200 x 800,276.7200 x 1000,"2,967,670"
17:9:2018  12:56:3,276.4300,275.4019,276.5200 x 800,276.7200 x 1000,"2,969,846"
17:9:2018  12:56:18,276.43,275.40,276.52 x 800,276.41 x 1000,"2,978,629"
17:9:2018  12:56:34,276.4300,275.4019,276.3900 x 800,276.4100 x 1000,"2,979,518"
17:9:2018  12:56:49,276.4300,275.4019,276.3900 x 800,276.3300 x 1000,"2,979,518"
17:9:2018  12:57:5,276.43,275.40,276.39 x 800,276.33 x 1000,"2,981,300"
17:9:2018  12:57:20,276.430,275.402,276.320 x 800,276.330 x 1000,"2,983,934"
17:9:2018  12:57:36,276.43,275.40,276.32 x 800,276.33 x 1000,"2,984,493"
17:9:2018  12:57:50,276.4300,275.4019,276.2400 x 800,276.3300 x 1000,"2,985,473"
17:9:2018  12:58:6,276.4300,275.4019,276.2400 x 800,276.3300 x 1000,"2,985,974"
17:9:2018  12:58:21,276.43,275.40,276.24 x 800,276.33 x 1000,"2,987,327"
17:9:2018  12:58:37,276.43,275.40,276.30 x 800,276.39 x 1000,"2,987,968"
17:9:2018  12:58:52,276.43,275.40,276.30 x 800,276.39 x 1000,"2,989,699"
17:9:2018  12:59:7,276.43,275.40,276.30 x 800,276.39 x 1000,"2,990,550"
17:9:2018  12:59:22,276.43,275.40,276.30 x 800,276.19 x 1000,"2,997,351"
17:9:2018  12:59:38,276.430,275.402,276.150 x 800,276.190 x 1000,"2,997,351"
17:9:2018  12:59:53,276.43,275.40,276.15 x 800,276.19 x 1000,"2,998,279"
17:9:2018  13:0:9,276.43,275.40,276.15 x 800,276.19 x 1000,"2,999,118"
17:9:2018  13:0:25,276.43,275.40,276.22 x 800,276.28 x 800,"3,002,770"
17:9:2018  13:0:40,276.43,275.40,276.22 x 800,276.28 x 800,"3,002,770"
17:9:2018  13:0:55,276.4300,275.4019,276.2200 x 800,276.2800 x 800,"3,004,817"
17:9:2018  13:1:11,276.43,275.40,276.48 x 800,276.55 x 800,"3,005,052"
17:9:2018  13:1:27,276.43,275.40,276.48 x 800,276.55 x 800,"3,005,717"
17:9:2018  13:1:42,276.43,275.40,276.48 x 800,276.55 x 800,"3,011,029"
17:9:2018  13:1:57,276.43,275.40,276.48 x 800,276.55 x 800,"3,011,974"
17:9:2018  13:2:13,276.43,275.40,276.53 x 800,276.60 x 800,"3,012,350"
17:9:2018  13:2:29,276.4300,275.4019,276.5300 x 800,276.6000 x 800,"3,012,350"
17:9:2018  13:2:44,276.4300,275.4019,276.5300 x 800,276.6000 x 800,"3,012,350"
17:9:2018  13:3:0,276.43,275.40,276.60 x 800,276.76 x 800,"3,014,251"
17:9:2018  13:3:16,276.43,275.40,276.57 x 800,276.76 x 800,"3,018,511"
17:9:2018  13:3:31,276.43,275.40,276.5700 x 800,276.7600 x 800,"3,018,511"
17:9:2018  13:3:47,276.43,275.40,276.57 x 800,276.68 x 800,"3,019,059"
17:9:2018  13:4:3,276.43,275.40,276.57 x 800,276.68 x 800,"3,019,263"
17:9:2018  13:4:19,276.43,275.40,276.57 x 800,276.68 x 800,"3,020,029"
17:9:2018  13:4:34,276.43,275.40,276.73 x 800,276.88 x 800,"3,020,029"
17:9:2018  13:4:50,276.43,275.40,276.73 x 800,276.88 x 800,"3,020,408"
17:9:2018  13:5:4,276.4300,275.4019,276.7300 x 800,276.8800 x 800,"3,021,825"
