     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:36,295.2000,290.0400,299.3200 x 1200,299.4800 x 1800,"4,047,460"
17:9:2018  12:30:50,295.20,290.04,299.03 x 1200,299.48 x 1800,"4,050,259"
17:9:2018  12:31:5,295.200,290.040,299.03 x 1200,299.48 x 1800,"4,050,840"
17:9:2018  12:31:19,295.2000,290.0400,299.0300 x 1200,299.4200 x 1800,"4,050,840"
17:9:2018  12:31:34,295.2000,290.0400,299.0300 x 1200,299.4200 x 1800,"4,053,938"
17:9:2018  12:31:48,295.20,290.04,299.50 x 1200,299.42 x 1800,"4,055,338"
17:9:2018  12:32:3,295.2000,290.0400,299.5000 x 1200,299.4900 x 1800,"4,059,150"
17:9:2018  12:32:17,295.20,290.04,299.50 x 1200,299.49 x 1800,"4,065,915"
17:9:2018  12:32:31,295.20,290.04,298.86 x 1200,299.49 x 1800,"4,066,135"
17:9:2018  12:32:45,295.2000,290.0400,298.86 x 1200,299.49 x 1800,"4,068,494"
17:9:2018  12:32:59,295.20,290.04,298.86 x 1200,299.12 x 1800,"4,072,734"
17:9:2018  12:33:14,295.2000,290.0400,299.1400 x 1200,299.1200 x 1800,"4,073,479"
17:9:2018  12:33:28,295.20,290.04,299.14 x 1200,299.12 x 1800,"4,080,006"
17:9:2018  12:33:42,295.20,290.04,299.14 x 1200,299.39 x 1800,"4,090,509"
17:9:2018  12:33:56,295.2000,290.0400,299.5500 x 1200,299.3900 x 1800,"4,096,894"
17:9:2018  12:34:10,295.2000,290.0400,299.5500 x 1200,299.3900 x 1800,"4,100,075"
17:9:2018  12:34:24,295.2000,290.0400,299.5500 x 1200,299.3900 x 1800,"4,101,055"
17:9:2018  12:34:38,295.20,290.04,299.80 x 1200,299.82 x 1800,"4,102,423"
17:9:2018  12:34:52,295.2000,290.0400,299.80 x 1200,299.82 x 1800,"4,102,423"
17:9:2018  12:35:6,295.2000,290.0400,299.8000 x 1200,299.8200 x 1800,"4,109,485"
17:9:2018  12:35:20,295.2000,290.0400,300.6100 x 1200,300.4500 x 1800,"4,118,184"
17:9:2018  12:35:34,295.20,290.04,300.61 x 1200,300.45 x 1800,"4,121,104"
17:9:2018  12:35:48,295.20,290.04,300.61 x 1200,300.45 x 1800,"4,134,282"
17:9:2018  12:36:2,295.20,290.04,300.61 x 1200,300.56 x 1800,"4,136,321"
17:9:2018  12:36:17,295.20,290.04,300.34 x 1200,300.56 x 1800,"4,137,553"
17:9:2018  12:36:31,295.2000,290.0400,300.3400 x 1200,300.5600 x 1800,"4,139,325"
17:9:2018  12:36:45,295.20,290.04,300.34 x 1200,299.80 x 1800,"4,141,670"
17:9:2018  12:36:59,295.20,290.04,299.65 x 1200,299.80 x 1800,"4,142,640"
17:9:2018  12:37:13,295.20,290.04,299.65 x 1200,299.80 x 1800,"4,142,758"
17:9:2018  12:37:27,295.20,290.04,299.65 x 1200,299.80 x 1800,"4,143,538"
17:9:2018  12:37:41,295.20,290.04,299.65 x 1200,299.35 x 1800,"4,149,210"
17:9:2018  12:37:55,295.200,290.04,299.530 x 1200,299.350 x 1800,"4,155,003"
17:9:2018  12:38:9,295.2000,290.0400,299.5300 x 1200,299.3500 x 1800,"4,158,622"
17:9:2018  12:38:24,295.2000,290.0400,299.5300 x 1200,299.3500 x 1800,"4,162,027"
17:9:2018  12:38:38,295.20,290.04,299.53 x 1200,299.48 x 1800,"4,170,135"
17:9:2018  12:38:52,295.20,290.04,299.07 x 1200,299.48 x 1800,"4,170,135"
17:9:2018  12:39:7,295.2000,290.0400,299.0700 x 1200,299.4800 x 1800,"4,178,971"
17:9:2018  12:39:21,295.20,290.04,298.40 x 1200,298.79 x 1800,"4,179,433"
17:9:2018  12:39:35,295.20,290.04,298.40 x 1200,298.79 x 1800,"4,180,056"
17:9:2018  12:39:49,295.20,290.04,298.40 x 1200,298.48 x 1800,"4,181,880"
17:9:2018  12:40:3,295.20,290.04,298.40 x 1200,298.48 x 1800,"4,181,880"
17:9:2018  12:40:17,295.200,290.040,298.590 x 1200,298.480 x 1800,"4,185,986"
17:9:2018  12:40:31,295.200,290.040,298.590 x 1200,298.480 x 1800,"4,187,858"
17:9:2018  12:40:46,295.2000,290.0400,298.5900 x 1200,298.7800 x 1800,"4,190,430"
17:9:2018  12:41:0,295.20,290.04,298.81 x 1200,298.78 x 1800,"4,190,640"
17:9:2018  12:41:15,295.20,290.04,298.8100 x 1200,298.7800 x 1800,"4,192,621"
17:9:2018  12:41:29,295.200,290.040,298.810 x 1200,298.740 x 1800,"4,194,130"
17:9:2018  12:41:43,295.20,290.04,298.26 x 1200,298.74 x 1800,"4,194,977"
17:9:2018  12:41:57,295.2000,290.0400,298.2600 x 1200,298.7400 x 1800,"4,199,649"
17:9:2018  12:42:11,295.20,290.04,298.26 x 1200,298.74 x 1800,"4,204,061"
17:9:2018  12:42:25,295.2000,290.0400,298.2600 x 1200,298.5100 x 1800,"4,209,386"
17:9:2018  12:42:39,295.2000,290.0400,298.2600 x 1200,298.5100 x 1800,"4,215,853"
17:9:2018  12:42:53,295.2000,290.0400,298.1100 x 1200,298.5100 x 1800,"4,215,853"
17:9:2018  12:43:8,295.2000,290.0400,298.1100 x 1200,298.5900 x 2200,"4,222,067"
17:9:2018  12:43:22,295.2000,290.0400,298.5000 x 1200,298.5900 x 2200,"4,222,067"
17:9:2018  12:43:36,295.2000,290.0400,298.5000 x 1200,298.5900 x 2200,"4,222,067"
17:9:2018  12:43:50,295.20,290.04,298.50 x 1200,298.72 x 2200,"4,228,721"
17:9:2018  12:44:4,295.2000,290.0400,298.5100 x 1200,298.7200 x 2200,"4,234,628"
17:9:2018  12:44:18,295.20,290.04,298.5100 x 1200,298.7200 x 2200,"4,238,705"
17:9:2018  12:44:32,295.2000,290.0400,298.5100 x 1200,298.7200 x 2200,"4,242,912"
17:9:2018  12:44:46,295.20,290.04,298.51 x 1200,298.77 x 2200,"4,244,778"
17:9:2018  12:45:0,295.2000,290.0400,298.5100 x 1200,298.7700 x 2200,"4,246,005"
17:9:2018  12:45:14,295.20,290.04,298.67 x 1200,298.77 x 2200,"4,251,476"
17:9:2018  12:45:28,295.20,290.04,298.67 x 1200,299.27 x 2200,"4,252,821"
17:9:2018  12:45:42,295.20,290.04,298.85 x 1200,299.27 x 2200,"4,252,821"
17:9:2018  12:45:56,295.20,290.04,298.85 x 1200,299.27 x 2200,"4,253,653"
17:9:2018  12:46:10,295.2000,290.0400,298.8500 x 1200,299.2700 x 2200,"4,255,057"
17:9:2018  12:46:23,295.20,290.04,298.58 x 1200,298.87 x 2200,"4,257,875"
17:9:2018  12:46:37,295.20,290.04,298.58 x 1200,298.87 x 2200,"4,257,875"
17:9:2018  12:46:51,295.2000,290.0400,298.5800 x 1200,298.8700 x 2200,"4,259,189"
17:9:2018  12:47:6,295.200,290.040,298.580 x 1200,298.960 x 2200,"4,261,170"
17:9:2018  12:47:20,295.2000,290.0400,298.2900 x 1200,298.9600 x 2200,"4,263,689"
17:9:2018  12:47:34,295.20,290.04,298.29 x 1200,298.96 x 2200,"4,268,166"
17:9:2018  12:47:48,295.2000,290.0400,298.2900 x 1200,298.4000 x 2200,"4,269,712"
17:9:2018  12:48:2,295.2000,290.0400,298.2900 x 1200,298.4000 x 2200,"4,274,960"
17:9:2018  12:48:16,295.20,290.04,298.31 x 1200,298.40 x 2200,"4,279,990"
17:9:2018  12:48:30,295.20,290.04,298.31 x 1200,298.13 x 2200,"4,281,567"
17:9:2018  12:48:44,295.200,290.040,297.750 x 1200,298.130 x 2200,"4,286,524"
17:9:2018  12:48:58,295.20,290.04,297.7500 x 1200,298.1300 x 2200,"4,286,960"
17:9:2018  12:49:12,295.20,290.04,297.75 x 1200,298.13 x 2200,"4,286,960"
17:9:2018  12:49:26,295.2000,290.0400,297.7500 x 1200,298.1300 x 2200,"4,288,277"
