     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:30:30,30.1200,29.0500,28.98 x 3000,28.99 x 1000,"20,429,089"
17:9:2018  12:30:44,30.12,29.05,28.98 x 3000,28.99 x 1000,"20,436,374"
17:9:2018  12:30:59,30.12,29.05,28.98 x 3000,28.99 x 1000,"20,436,374"
17:9:2018  12:31:13,30.12,29.05,28.98 x 800,28.99 x 3100,"20,439,569"
17:9:2018  12:31:28,30.1200,29.0500,28.9800 x 800,28.9900 x 3100,"20,459,098"
17:9:2018  12:31:43,30.1200,29.0500,28.98 x 800,28.99 x 3100,"20,479,525"
17:9:2018  12:31:57,30.12,29.05,28.99 x 1100,29.00 x 2200,"20,510,433"
17:9:2018  12:32:11,30.1200,29.0500,28.9900 x 1100,29.0000 x 2200,"20,511,348"
17:9:2018  12:32:25,30.1200,29.0500,28.9900 x 1100,29.0000 x 2200,"20,542,843"
17:9:2018  12:32:39,30.12,29.05,28.99 x 1100,29.00 x 2200,"20,563,101"
17:9:2018  12:32:53,30.1200,29.0500,28.99 x 3200,29.00 x 2200,"20,584,373"
17:9:2018  12:33:8,30.12,29.05,28.99 x 3200,29.00 x 2200,"20,600,729"
17:9:2018  12:33:22,30.12,29.05,28.99 x 3200,29.00 x 2200,"20,600,729"
17:9:2018  12:33:36,30.12,29.05,28.99 x 3200,29.00 x 2200,"20,601,202"
17:9:2018  12:33:50,30.12,29.05,28.99 x 3200,29.00 x 1000,"20,601,202"
17:9:2018  12:34:4,30.12,29.05,29.01 x 3200,29.02 x 800,"20,613,180"
17:9:2018  12:34:18,30.12,29.05,29.01 x 3200,29.02 x 800,"20,613,510"
17:9:2018  12:34:32,30.12,29.05,29.01 x 3200,29.02 x 800,"20,613,644"
17:9:2018  12:34:46,30.12,29.05,29.03 x 2900,29.04 x 800,"20,618,733"
17:9:2018  12:35:0,30.120,29.050,29.03 x 2900,29.04 x 800,"20,628,928"
17:9:2018  12:35:14,30.12,29.05,29.0300 x 2900,29.0400 x 800,"20,632,528"
17:9:2018  12:35:28,30.12,29.05,29.00 x 900,29.01 x 4000,"20,640,625"
17:9:2018  12:35:42,30.12,29.05,29.00 x 900,29.01 x 4000,"20,651,545"
17:9:2018  12:35:56,30.12,29.05,29.00 x 900,29.01 x 4000,"20,659,771"
17:9:2018  12:36:11,30.12,29.05,29.000 x 900,29.010 x 4000,"20,684,383"
17:9:2018  12:36:25,30.12,29.05,29.00 x 900,29.01 x 4000,"20,695,181"
